Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Additional Notes																																															
ActivityNetCap	5	v=4p6OjaHHSDs	a girl smokes and coughs, making people laugh	framed girl	00:00:00	00:00:13	center field	smoking	00:00:14	00:00:16	center field	coughing	######	00:00:19	center field	laughing	00:00:20	00:00:37																																																																									
ActivityNetCap	5	v=5aMigcn2cU8	Honduras dance group performing in a gym	intro with all dancers	00:00:00	00:00:10	center field	dancing	00:00:11	00:03:04	gym	outro	######	00:03:16																																																																													
ActivityNetCap	5	v=ArGF2CfOxkY	a rodeo where a cowboy catch a bull	beginning of a rodeo	00:00:00	00:00:17	rodeo arena	cowboy catch a baby bull with a lazo	00:00:18	00:00:31	rodeo arena	scoreboard is shown	######	00:00:36	rodeo arena	the baby bull is released	00:00:37	00:00:58	rodeo arena																																																																								
ActivityNetCap	5	v=bPkk-z5n8MY	a parade show performed by some dancers in a yellow suit in an Asian street	a parade show performed by some dancers in a yellow suit in an Asian street	00:00:00	00:01:03	street																																																																																				
ActivityNetCap	5	v=DfpUMDpSbS4	a personal traininer explains and shows how to perform a deadlift	the personal trainer explain how to perform a deadlift	00:00:00	00:01:19	gym	the personal trainer shows how to perform the deadlift	00:01:20	00:01:25	gym	the personal trainer explain how to perform a deadlift	######	00:02:46	gym	the personal trainer shows how to perform the deadlift	00:02:47	00:03:04	gym	the personal trainer explain how to perform a deadlift	00:03:05	00:03:58	gym																																																																				
ActivityNetCap	5	v=dxvKVBrNMDw	a woman talks and shows how to use the sport hoop	intro	00:00:00	00:00:06	center field	a woman talks and uses a sport hoop	00:00:07	00:01:09	room	the woman does some exercises with the sport hoop	######	00:01:27	room	the woman talks	00:01:28	00:01:40	room	outro	00:01:41	00:01:58	room																																																																				
ActivityNetCap	5	v=gmFioIDX4X0	Shot of two boys canoeing on a river/lake	a boy pushes the canoe	00:00:00	00:00:08	lake/river	two boys paddle a canoe	00:00:09	00:00:23	lake/river	lake/river landscape shooting	######	00:00:27	lake/river	two boys paddle a canoe	00:00:28	00:00:40	lake/river	zooming on the two guys	00:00:41	00:00:56	lake/river	two boys celebrate	00:00:57	00:00:59	lake/river	two boys paddle a canoe	00:01:00	00:01:37	lake/river	lake/river landscape shooting	00:01:38	00:01:45	lake/river	shooting people on the shore	######	00:01:57	lake/river side																																																				
ActivityNetCap	5	v=HbF6UM4jUDk	a woman explaining and demostrating how to use hoops	intro video	00:00:00	00:00:04	center field	a woman speaking/explainig	00:00:05	00:02:00	field/park	a woman demostrating the hoop	######	00:02:11	field/park	a woman speaking	00:02:12	00:02:53	field/park	a woman demostrating the hoop	00:02:54	00:03:10	field/park	a woman speaking/explaining	00:03:11	00:03:21	field/park	outro	00:03:22	00:03:51	field/park																																																												
ActivityNetCap	5	v=hXjxOvlNxQM	fight between two wrestler on a boxing ring	two wrestler are fighting	00:00:00	00:00:03	boxing ring	wrestler performs a move	00:00:04	00:00:07	boxing ring																																																																																
ActivityNetCap	5	v=KujAY-AST9M	the personal trainer explain how to perform a deadlift	some foosball players train on running forth and back, ending with shooting againt a gollie	00:00:00	00:03:51	gym																																																																																				
ActivityNetCap	5	v=KzK4sf7RmRM	tutorial on how to make camo cake better	intro	00:00:00	00:00:06	center field	ingredients and tools are shown	00:00:07	00:00:29	center field	a person makes 5 cakes	######	00:00:54	center field	a person makes 12 cupcakes	00:00:55	00:01:21	center field	a person show the 5 cakes baked	00:01:22	00:01:29	center field	a person shows the 12 cupcakes baked	00:01:30	00:01:39	center field	a person shows two slices of cakes	00:01:40	00:01:47	center field	a person shows the topping	00:01:48	00:01:56	center field	a person shows how to add the topping to the cupcakes	######	00:02:14	center field	a person show the final results of the cupcakes	00:02:15	00:02:20	center filed	outro	00:02:21	00:02:27	center field																																												
ActivityNetCap	5	v=l866oFamRY4	a funny video of a dog walking down the street with a human voice humorously mimicking his thoughts	a funny video of a dog walking down the street with a human voice humorously mimicking his thoughts	00:00:00	00:00:18	street																																																																																				
ActivityNetCap	5	v=lk2niPrG3y8	a girl jumps rope	a girl jumps rope	00:00:00	00:00:26	gym	Girl celebrates and cameraman congratulates	00:00:27	00:00:28																																																																																	
ActivityNetCap	5	v=mfENhAPlES8	A boy demonstrates how to put on and take off a black contact lens	a guy puts on a black contact lens	00:00:00	00:00:15	center field	a guy take off a black contact lens	00:00:16	00:00:22	center field	a guy puts on a black contact lens	######	00:00:29	center field	outro video	00:00:30	00:00:31	full screen																																																																								
ActivityNetCap	5	v=mGsenLq9yEU	tv news on bullfighting ban with an interview	intro	00:00:00	00:00:03	center field	presenter speaking	00:00:04	00:00:14	tv studio	protester against corrida	######	00:00:30	city	presenter speaking	00:00:31	00:00:35	tv studio	corrida	00:00:36	00:00:42	center field	interview	00:00:43	00:01:55	tv studio	corrida	00:01:56	00:02:16	center field	interview	00:02:17	00:03:55	tv studio																																																								
ActivityNetCap	5	v=sQZaEt-ssCs			00:00:00																																																																																						
ActivityNetCap	5	v=xPyj6pmYyEk	recipe pasta with clams	intro video	00:00:00	00:00:08	center field	close shoot to pasta	00:00:09	00:00:31	center field	add salt to water	######	00:00:41	center field	add pasta to water	00:00:42	00:00:47	center fiield	chopping parsley	00:00:48	00:01:00	center field	chopping garlic	00:01:01	00:01:09	center field	drain the clams	00:01:10	00:01:25	center field	add oil to the pan	00:01:26	00:01:34	center field	add garlic to the pan	######	00:01:40	center field	add chili to the pan	00:01:41	00:01:51	center filed	add clam water to the pan	00:01:52	00:01:58	center field	add parsley to the pan	00:01:59	00:02:03	center field	add liquid to the pan	00:02:04	00:02:09	center field	add spices to the pan	00:02:10	00:02:12	center field	add salt to the pan	00:02:13	00:02:18	center field	stearing and close shoot	00:02:19	00:02:27	center field	add clam to the pan and stearing	00:02:28	00:02:40	center field	drain pasta	00:02:41	00:02:46	center field	add pasta to the pan	00:02:47	00:02:52	center field	stearing	00:02:53	00:03:05	center field	close shoot pasta plate	00:03:06	00:03:22	center field	outro	00:03:23	00:03:28	center field
