Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Event 15	Start Timestamp Event 15	End Timestamp Event 15	Location Event 15	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Event 15	Start Timestamp Event 15	End Timestamp Event 15	Location Event 15	Event 16	Start Timestamp Event 16	End Timestamp Event 16	Location Event 16	Event 17	Start Timestamp Event 17	End Timestamp Event 17	Location Event 17	Event 18	Start Timestamp Event 18	End Timestamp Event 18	Location Event 18	Event 19	Start Timestamp Event 19	End Timestamp Event 19	Location Event 19	Event 20	Start Timestamp Event 20	End Timestamp Event 20	Location Event 20	Event 21	Start Timestamp Event 21	End Timestamp Event 21	Location Event 21	Event 22	Start Timestamp Event 22	End Timestamp Event 22	Location Event 22	Event 23	Start Timestamp Event 23	End Timestamp Event 23	Location Event 23	Event 24	Start Timestamp Event 24	End Timestamp Event 24	Location Event 24	Event 25	Start Timestamp Event 25	End Timestamp Event 25	Location Event 25	Event 26	Start Timestamp Event 26	End Timestamp Event 26	Location Event 26	Event 27	Start Timestamp Event 27	End Timestamp Event 27	Location Event 27	Event 28	Start Timestamp Event 28	End Timestamp Event 28	Location Event 28	Event 29	Start Timestamp Event 29	End Timestamp Event 29	Location Event 29
ActivityNetCap	6	v=-YreL-4QCLg	This video shows a senior year high school student describing what he is going to teach to kids as fundamental of Lacrosse sport. The basics are about how to hold the stick, how to pass the ball, the fundamentals of dodging and fundamentals of shooting.	Text introducing the video	00:00:00	00:00:02	Textual information	Presentation of the senior high school student	00:00:03	00:00:11	Lacrosse field	Fundamentals of Lacrosse	00:00:12	00:00:41	Lacrosse field	Fundamentals of Lacross - hold the stick	00:00:16	00:00:17	Lacrosse field	Fundamentals of Lacrosse - pass the ball	00:00:17	00:00:18	Lacrosse field	Fundamentals of Lacrosse - catch the ball	00:00:18	00:00:19	Lacrosse field	Fundamentals of Lacrosse - pick a ground ball	00:00:20	00:00:21	Lacrosse field	Fundamentals of Lacrosse - dodging	00:00:21	00:00:27	Lacross field	Fundamentals of Lacrosse - shooting	00:00:28	00:00:37																																																																																									
ActivityNetCap	6	v=4p6OjaHHSDs	In this video, a girl is shown trying to smoke a cigarette with other people in a bedroom. Then, the girl starts coughing immediately after.	Girls talking to each other	00:00:00	00:00:12	Close-up shot of a girl	Girl is coughing	00:00:13	00:00:20	Close-up shot of the girl	Sound of girl laughing	00:00:18	00:00:22	Bedroom	Strong noise with high volume	00:00:22	00:00:37	Bedroom	Girl wiping her eyes	00:00:35	00:00:37	Close-up shot of the girl																																																																																																								
ActivityNetCap	6	v=5aMigcn2cU8	This video presents a group of four people, namely the Honduras Dance Crew, dancing. 		A static photo of four people is shown, with the text "Hondus Dance Crew" appearing	00:00:10	Room with white walls	Group of four people, two males and two females, dancing	00:00:10	00:03:04	Room	Static photo of the group of four people with links to social networks and the following text: "hola agradecemos el detalle que tinen al subscribirse a nuestro canal y ver nuestros videos"	00:03:05	00:03:16																																																																																																																	
ActivityNetCap	6	v=ArGF2CfOxkY	This video shows a rodeo match. A man is riding a brown horse and catches with the lasso a small animal. Then, the animal is freed by two people	Audience is waiting for the match to begin	00:00:00	00:00:17	Rodeo arena	Match start: the animal and the contestant enter the arena	00:00:17	00:00:18	Rodeo arena	Contest is riding his horse and lassoes the animal	00:00:17	00:00:25	Rodeo arena	The animal is running away from the contestant	00:00:18	00:00:21	Center of the frame	The animal falls on the ground	00:00:20	00:00:23	Center of the frame	The contestant stands up and goes back to his horse	00:00:24	00:00:30	Rodeo arena	Central screen with score is shown	00:00:31	00:00:34	Center and top of the field	Three people are freeing the animal. A voice is telling the score which was given to the contestant	00:00:40	00:00:52	Center of rodeo arena	Animal is freed and runs away, followed by a man riding his horse	00:00:52	00:00:57	Right part of the rodeo arena																																																																																								
ActivityNetCap	6	v=bPkk-z5n8MY	A group of marching band dancers is shown exhibiting in a street full of people. All the dancers are coordinated and are wearing yellow suits.	Dancers are throwing in the air and catching a wand	00:00:01	00:00:03	Lower half of the frame	Dancers are rotating the wand with the right hand	00:00:04	00:00:09	Street	Two people are passing in front of the camera, wearing a yellow T-shirt and green cap	00:00:05	00:00:10	Bottom of the frame	Dancers are throwing in the air and catching the wand	00:00:13	00:00:14	Street	Dancers are holding the wand with their left hand and throw it into the air. The wand is catched with the right hand.	00:00:17	00:00:21	Street	Dancers are throwing the wand in the air and they are turning around twice, catching the wand immediately after.	00:00:26	00:00:28	Street	Dancers are doing a small jump and raising their right leg into the air	00:00:29	00:00:32	Street	Dancers are throwing the wand in the air and doing the cartwheel, catching the wand after it, except for the dancer in the center of the frame	00:00:34	00:00:37	Street	Dancers are moving forward while dancing and rotating the wand	00:00:37	00:00:42	Street	Dancers are throwing the wand in the air and catching it with the right hand	00:00:43	00:00:45	Street	Dancers are throwing the wand in the air and catching it with the right hand	00:00:47	00:00:49	Street	Dancers are throwing the wand in the air and catching it with the right hand	00:00:53	00:00:55	Street	Dancers are walking forward	00:00:58	00:01:02	Street																																																																								
ActivityNetCap	6	v=DfpUMDpSbS4	This video shows diffent tips to solve the back pain problem when doing deadlifts.	Description of the back pain problem	00:00:00	00:00:57	Gym	Basic position for deadlifts	00:00:57	00:01:26	Gym	Introduction to the powerlifting style and its tip	00:01:27	00:03:30	Gym	Recap and conclusions of the tips	00:03:30	00:03:55	Gym																																																																																																												
ActivityNetCap	6	v=dxvKVBrNMDw	The video shows a woman describing the characteristics of a hula hoop and the benefits exercising with it.	An image of a woman playing with a hula hoop is shown, followed by a pink text stating "Consult you physician before exercise!". A second greyscale image appears with kids playing with hula hoops.	00:00:00	00:00:06	Center of the frame	A woman plays with her hula hoop in a room, introducing the  benefits of playing with it	00:00:06	00:01:07	Room in a house	The woman shows how you can stretch with the hula hoop 	00:01:07	00:01:13	Room in a house	The woman shows balancing exercises with the hula hoop	00:01:13	00:01:25	Room in a house	The woman describes the benefits she found using the hula hoop	00:01:25	00:01:40	Room in a house	Some greyscale photos of people playing with the hula hoop are shown	00:01:40	00:01:48	Center of the frame	The text "YOU GOT THE POWER" appears	00:01:48	00:01:52	Center of the frame	The text "SUBSCRIBE!" flows from bottom to top	00:01:52	00:01:57	Bottom to top of the frame																																																																																												
ActivityNetCap	6	v=gmFioIDX4X0	The video shows two people canoeing on the same canoe. They are first moving forward and then moving backwards.	The person sitting in the back of the canoe is pushing the canoe into the water with his foot	00:00:00	00:00:09	Lakeside or riverside	The canoe is moving forward	00:00:09	00:00:23	Lakeside or riverside	The camera turns right, showing the landscape, and then goes back to the left	00:00:24	00:00:29	Lakerside or riverside	The canoe turns right and the two people start rowing backwards	00:00:29	00:01:36	Lakeside or riverside	The camera zooms in on the canoe and the two people	00:00:40	00:00:54	Lakeside or riverside	The two people raise their oars on their heads	00:00:54	00:00:58	Lakeside or riverside	The camera zooms in on the two people canoeing	00:00:59	00:01:16	Lakeside or riverside	The camera zooms in on the two people canoeing	00:01:18	00:01:35	Lakeside or riverside	The camera turns left and then right	00:01:36	00:01:41	Lakeside or riverside	The camera turns right, showing people on the lakeside or riverside	00:01:41	00:01:51	Lakeside or riverside	The cameraman speaks with two people on the lakeside or riverside	00:01:45	00:01:51																																																																																	
ActivityNetCap	6	v=HbF6UM4jUDk	This tutorial explains the main steps to do waist hooping. It first describes what are the important aspects to check, such as the size of the hoop and the stance. Then, it describes what to do in order to do waist hooping. Finally, the presenter provides suggestions in case you are not able to keep the hoop moving.	Introduction animation	00:00:00	00:00:05	Center of the screen	The presenter introduces herself and tells the viewer to check the size of the hoop, pointing to another video of her.	00:00:05	00:00:39	In a field, center of the frame	Introduction of the three stances	00:00:39	00:00:54	In a field, center of the frame	First stance: side-to-side stance	00:00:54	00:01:00	In a field, center of the frame	Second stance: front-back stance	00:01:00	00:01:05	In a field, center of the frame	Third stance: corner stance	00:01:05	00:01:18	In a field, center of the frame	The presenter tells how to keep the hoop rotating	00:01:18	00:01:58	In a field, center of the frame	Practical example on how to keep the hoop rotating	00:01:58	00:02:18	In a field, center of the frame	Troubleshooting: the presenter provides suggestions in case the viewer is not able to keep the hoop looping	00:02:18	00:02:47	In a field, center of the frame	The presenter gives a recap on how to keep hooping at the waist	00:02:47	00:03:11	In a field, center of the frame	Conclusions of the video. The presenter points to a website with other suggestions	00:03:11	00:03:21	In a field, center of the frame	Overview of other videos of the presenter about hooping	00:03:21	00:03:51	Bottom left and bottom right of the frame																																																																												
ActivityNetCap	6	v=hXjxOvlNxQM	The video shows a wrestling match. A man wearing a black and green suit is lifting his opponent from the ground and kicking him on the ground	A man is trying to stand up, but is catched by his opponent 	00:00:00	00:00:02	Center of wrestling ring	The man wearing the black and green suit is lifting up his opponent	00:00:03	00:00:05	Center of wrestling ring	The opponent is being thrown to the ground	00:00:04	00:00:07	Center of wrestling ring	The opponent falling is being hit by the legs of the man wearing the black and green suit.	00:00:06	00:00:07																																																																																																													
