video	description
v=-YreL-4QCLg	"In the video v=-YreL-4QCLg, Action: jogging was detected from 11 second(s) to 13 second(s). Action: kicking field goal was detected from 15 second(s) to 40 second(s). Action: playing tennis was detected from 40 second(s) to 41 second(s)."
v=5aMigcn2cU8	"In the video v=5aMigcn2cU8, Action: zumba was detected from 2 second(s) to 3 minute(s) and 12 second(s)."
v=ArGF2CfOxkY	"In the video v=ArGF2CfOxkY, Action: milking cow was detected from 2 second(s) to 19 second(s). Action: riding or walking with horse was detected from 19 second(s) to 25 second(s). Action: playing cricket was detected from 30 second(s) to 32 second(s). Action: dunking basketball was detected from 34 second(s) to 40 second(s). Action: riding or walking with horse was detected from 40 second(s) to 58 second(s)."
v=DfpUMDpSbS4	"In the video v=DfpUMDpSbS4, Action: deadlifting was detected from 2 second(s) to 3 minute(s) and 54 second(s). Action: deadlifting was detected from 3 minute(s) and 55 second(s) to 3 minute(s) and 55 second(s)."
v=HbF6UM4jUDk	"In the video v=HbF6UM4jUDk, Action: archery was detected from 3 second(s) to 5 second(s). Action: hula hooping was detected from 5 second(s) to 1 minute(s) and 0 second(s). Action: squat was detected from 1 minute(s) and 14 second(s) to 1 minute(s) and 18 second(s). Action: hula hooping was detected from 1 minute(s) and 20 second(s) to 3 minute(s) and 50 second(s). Action: hula hooping was detected from 3 minute(s) and 51 second(s) to 3 minute(s) and 51 second(s)."
v=KujAY-AST9M	"In the video v=KujAY-AST9M, Action: skipping rope was detected from 18 second(s) to 21 second(s). Action: dodgeball was detected from 29 second(s) to 34 second(s). Action: high jump was detected from 39 second(s) to 50 second(s). Action: dodgeball was detected from 51 second(s) to 57 second(s). Action: gymnastics tumbling was detected from 58 second(s) to 1 minute(s) and 0 second(s). Action: dodgeball was detected from 1 minute(s) and 2 second(s) to 3 minute(s) and 50 second(s). Action: dodgeball was detected from 3 minute(s) and 51 second(s) to 3 minute(s) and 51 second(s)."
v=KzK4sf7RmRM	"In the video v=KzK4sf7RmRM, Action: breading or breadcrumbing was detected from 26 second(s) to 45 second(s). Action: baking cookies was detected from 45 second(s) tto 1 minute(s) and 46 second(s). Action: making a cake was detected from 1 minute(s) and 51 second(s) to 1 minute(s) and 54 second(s). Action: making a cake was detected from 1 minute(s) and 55 second(s) to 1 minute(s) and 58 second(s). Action: cooking egg was detected from 1 minute(s) and 59 second(s) to 2 minute(s) and 3 second(s). Action: making a sandwich was detected from 2 minute(s) and 6 second(s) to 2 minute(s) and 19 second(s). Action: dining was detected from 2 minute(s) and 20 second(s) to 2 minute(s) and 24 second(s)."
v=ZQs0S7WwYiM	"In the video v=ZQs0S7WwYiM, Action: bookbinding was detected from 57 second(s) to 1 minute(s) and 1 second(s). Action: unboxing was detected from 1 minute(s) and 1 second(s) to 1 minute(s) and 8 second(s). Action: playing cricket was detected from 1 minute(s) and 11 second(s) to 2 minute(s) and 13 second(s)."
v=bPkk-z5n8MY	"In the video v=bPkk-z5n8MY, Action: marching was detected from 2 second(s) to 12 second(s). Action: marching was detected from 20 second(s) to 39 second(s). Action: cheerleading was detected from 39 second(s) to 40 second(s). Action: marching was detected from 40 second(s) to 53 second(s). Action: marching was detected from 58 second(s) to 1 minute(s) and 0 second(s). Action: celebrating was detected from 1 minute(s) and 1 second(s) to 1 minute(s) and 2 second(s)."
v=dxvKVBrNMDw	"In the video v=dxvKVBrNMDw, Action: hula hooping was detected from 2 second(s) to 13 second(s). Action: bending back was detected from 13 second(s) to 14 second(s). Action: hula hooping was detected from 14 second(s) to 1 minute(s) and 52 second(s). Action: spray painting was detected from 1 minute(s) and 52 second(s) to 1 minute(s) and 55 second(s). Action: beatboxing was detected from 1 minute(s) and 57 second(s) to 1 minute(s) and 57 second(s)."
v=gmFioIDX4X0	"In the video v=gmFioIDX4X0, Action: canoeing or kayaking was detected from 5 second(s) to 1 minute(s) and 48 second(s). Action: catching or throwing frisbee was detected from 1 minute(s) and 52 second(s) to 1 minute(s) and 52 second(s)."
v=hXjxOvlNxQM	"In the video v=hXjxOvlNxQM, Action: wrestling was detected from 2 second(s) to 7 second(s)."
v=l866oFamRY4	"In the video v=l866oFamRY4, Action: training dog was detected from 2 second(s) to 3 second(s). Action: walking the dog was detected from 3 second(s) to 18 second(s)."
v=lk2niPrG3y8	"In the video v=lk2niPrG3y8, Action: dancing charleston was detected from 5 second(s) to 20 second(s). Action: tap dancing was detected from 21 second(s) to 28 second(s)."
v=mGsenLq9yEU	"In the video v=mGsenLq9yEU, Action: reading book was detected from 14 second(s) to 16 second(s). Action: reading book was detected from 17 second(s) to 19 second(s). Action: answering questions was detected from 51 second(s) to 54 second(s). Action: laughing was detected from 58 second(s) to 1 minute(s) and 23 second(s). Action: giving or receiving award was detected from 1 minute(s) and 41 second(s) to 1 minute(s) and 49 second(s). Action: laughing was detected from 2 minute(s) and 51 second(s) to 2 minute(s) and 52 second(s). Action: laughing was detected from 2 minute(s) and 58 second(s) to 3 minute(s) and 17 second(s). Action: laughing was detected from 3 minute(s) and 18 second(s) to 3 minute(s) and 19 second(s). Action: laughing was detected from 3 minute(s) and 41 second(s) to 3 minute(s) and 49 second(s)."
v=mfENhAPlES8	"In the video v=mfENhAPlES8, Action: filling eyebrows was detected from 5 second(s) to 32 second(s)."
v=sQZaEt-ssCs	"In the video v=sQZaEt-ssCs, Action: arm wrestling was detected from 3 second(s) to 1 minute(s) and 25 second(s). Action: playing poker was detected from 1 minute(s) and 26 second(s) to 1 minute(s) and 36 second(s). Action: arm wrestling was detected from 1 minute(s) and 36 second(s) to 1 minute(s) and 44 second(s)."
v=xPyj6pmYyEk	"In the video v=xPyj6pmYyEk, Action: tossing salad was detected from 14 second(s) to 1 minute(s) and 4 second(s). Action: breading or breadcrumbing was detected from 1 minute(s) and 20 second(s) to 1 minute(s) and 31 second(s). Action: tossing salad was detected from 1 minute(s) and 47 second(s) to 3 minute(s) and 27 second(s)."
