video	description
P01_101	In the video P01_101: action: take pepper, container, mushroom, carrot, onion:spring, courgette was detected from 5 second(s) to 1 minute(s) and 30 second(s). action: cut courgette was detected from 2 minute(s) and 8 second(s) to 3 minute(s) and 36 second(s). action: take, pour oil was detected from 4 minute(s) and 26 second(s) to 4 minute(s) and 33 second(s). action: turn-on hob was detected from 4 minute(s) and 39 second(s) to 4 minute(s) and 42 second(s). action: open pepper was detected from 5 minute(s) and 0 second(s) to 5 minute(s) and 6 second(s). action: cut, move onion was detected from 5 minute(s) and 18 second(s) to 5 minute(s) and 40 second(s). action: mix food was detected from 7 minute(s) and 20 second(s) to 7 minute(s) and 41 second(s). action: peel, take, put carrot was detected from 8 minute(s) and 37 second(s) to 10 minute(s) and 16 second(s). action: take skin, chopstick, spatula, onion:spring, colander was detected from 11 minute(s) and 29 second(s) to 12 minute(s) and 37 second(s). action: mix food was detected from 13 minute(s) and 8 second(s) to 13 minute(s) and 22 second(s). action: take, wash cup, filter, pan was detected from 14 minute(s) and 38 second(s) to 15 minute(s) and 58 second(s). action: insert, take rubbish was detected from 16 minute(s) and 47 second(s) to 16 minute(s) and 51 second(s). action: mix food was detected from 17 minute(s) and 1 second(s) to 17 minute(s) and 15 second(s). action: take, open, close container was detected from 17 minute(s) and 35 second(s) to 17 minute(s) and 42 second(s). action: take bread, cheese, knife was detected from 18 minute(s) and 18 second(s) to 18 minute(s) and 36 second(s). action: take, put garlic, towel was detected from 19 minute(s) and 28 second(s) to 19 minute(s) and 55 second(s). action: mix food was detected from 20 minute(s) and 5 second(s) to 20 minute(s) and 10 second(s). action: take garlic, mushroom, knife, tofu was detected from 20 minute(s) and 17 second(s) to 20 minute(s) and 44 second(s). action: drink water was detected from 22 minute(s) and 8 second(s) to 22 minute(s) and 15 second(s). action: mix food was detected from 22 minute(s) and 23 second(s) to 22 minute(s) and 45 second(s). action: take, insert, close, put container was detected from 23 minute(s) and 32 second(s) to 23 minute(s) and 47 second(s). action: put, take mushroom was detected from 24 minute(s) and 2 second(s) to 24 minute(s) and 6 second(s). action: mix food was detected from 24 minute(s) and 16 second(s) to 24 minute(s) and 28 second(s). action: throw bin was detected from 24 minute(s) and 37 second(s) to 24 minute(s) and 38 second(s). action: wash, shake, dry hand was detected from 24 minute(s) and 41 second(s) to 24 minute(s) and 56 second(s). action: wash knife, peeler:potato, board:chopping was detected from 25 minute(s) and 4 second(s) to 26 minute(s) and 30 second(s). action: mix food was detected from 26 minute(s) and 32 second(s) to 27 minute(s) and 51 second(s). action: take, put knife, bean:green, onion:spring was detected from 28 minute(s) and 48 second(s) to 29 minute(s) and 1 second(s). action: mix, move food was detected from 29 minute(s) and 24 second(s) to 29 minute(s) and 41 second(s). action: put plate was detected from 30 minute(s) and 28 second(s) to 30 minute(s) and 29 second(s).
P01_107	In the video P01_107: action: close cupboard was detected from 2 second(s) to 4 second(s). action: take, put plate was detected from 6 second(s) to 9 second(s). action: take cup was detected from 25 second(s) to 27 second(s). action: open bag was detected from 29 second(s) to 37 second(s). action: pour cereal was detected from 37 second(s) to 44 second(s). action: fold, insert bag was detected from 46 second(s) to 51 second(s). action: close box was detected from 51 second(s) to 52 second(s). action: take, pour milk was detected from 58 second(s) to 1 minute(s) and 10 second(s). action: wash, empty bottle was detected from 1 minute(s) and 15 second(s) to 1 minute(s) and 32 second(s). action: take spoon was detected from 1 minute(s) and 43 second(s) to 1 minute(s) and 44 second(s). action: close drawer was detected from 1 minute(s) and 46 second(s) to 1 minute(s) and 47 second(s). action: put cup, towel was detected from 1 minute(s) and 47 second(s) to 1 minute(s) and 57 second(s).
P01_13	In the video P01_13: action: fold cereal was detected from 1 second(s) to 4 second(s). action: close cereal was detected from 7 second(s) to 10 second(s). action: cereal put was detected from 13 second(s) to 15 second(s). action: take cloth was detected from 21 second(s) to 22 second(s). action: hang cloth was detected from 30 second(s) to 32 second(s). action: wash cup,spoon was detected from 43 second(s) to 48 second(s). action: take bottle was detected from 1 minute(s) and 13 second(s) to 1 minute(s) and 14 second(s). action: drink water was detected from 1 minute(s) and 21 second(s) to 1 minute(s) and 30 second(s).
P01_19	In the video P01_19: action: take spoon, liquid:washing, knife, plate was detected from 1 second(s) to 53 second(s). action: put spatula was detected from 1 minute(s) and 7 second(s) to 1 minute(s) and 8 second(s). action: take, wash glass, pan, knife, spoon, spatula, plate, sponge, cloth was detected from 1 minute(s) and 32 second(s) to 5 minute(s) and 7 second(s). action: wash, squeeze cloth was detected from 5 minute(s) and 3 second(s) to 5 minute(s) and 7 second(s). action: wash top, sink, cloth, sink was detected from 5 minute(s) and 14 second(s) to 6 minute(s) and 50 second(s). action: squeeze sponge was detected from 6 minute(s) and 51 second(s) to 6 minute(s) and 53 second(s). action: wash sink was detected from 6 minute(s) and 54 second(s) to 7 minute(s) and 13 second(s). action: hang cloth was detected from 7 minute(s) and 21 second(s) to 7 minute(s) and 24 second(s). action: move chair was detected from 7 minute(s) and 25 second(s) to 7 minute(s) and 26 second(s). action: take, fold, insert cloth was detected from 7 minute(s) and 26 second(s) to 7 minute(s) and 33 second(s). action: close container was detected from 7 minute(s) and 34 second(s) to 7 minute(s) and 43 second(s). action: open, close fridge was detected from 7 minute(s) and 46 second(s) to 7 minute(s) and 52 second(s).
P02_101	In the video P02_101: action: turn-on maker:coffee was detected from 5 second(s) to 6 second(s). action: open bottle was detected from 22 second(s) to 23 second(s). action: take, open bag was detected from 38 second(s) to 47 second(s). action: take bread, plate, spreads was detected from 47 second(s) to 1 minute(s) and 30 second(s). action: mix coffee was detected from 1 minute(s) and 38 second(s) to 1 minute(s) and 42 second(s). action: press button was detected from 2 minute(s) and 21 second(s) to 2 minute(s) and 22 second(s). action: take, put bread, plate, butter was detected from 2 minute(s) and 24 second(s) to 2 minute(s) and 38 second(s). action: cut, apply butter was detected from 2 minute(s) and 45 second(s) to 2 minute(s) and 58 second(s). action: scoop, put spreads was detected from 2 minute(s) and 58 second(s) to 3 minute(s) and 7 second(s). action: close spreads was detected from 3 minute(s) and 25 second(s) to 3 minute(s) and 27 second(s). action: wash knife was detected from 3 minute(s) and 42 second(s) to 3 minute(s) and 44 second(s). action: dry hand was detected from 3 minute(s) and 47 second(s) to 3 minute(s) and 49 second(s). action: put cup was detected from 3 minute(s) and 52 second(s) to 3 minute(s) and 54 second(s). action: open, close fridge was detected from 3 minute(s) and 56 second(s) to 4 minute(s) and 1 second(s).
P02_107	In the video P02_107: action: take cup was detected from 3 second(s) to 5 second(s). action: open fridge was detected from 24 second(s) to 26 second(s). action: empty coffee was detected from 50 second(s) to 51 second(s). action: mix coffee was detected from 1 minute(s) and 12 second(s) to 1 minute(s) and 18 second(s). action: fill jug was detected from 1 minute(s) and 34 second(s) to 1 minute(s) and 36 second(s).
P02_109	In the video P02_109: action: peel, cut onion was detected from 1 minute(s) and 50 second(s) to 2 minute(s) and 40 second(s). action: take board:chopping was detected from 2 minute(s) and 50 second(s) to 2 minute(s) and 52 second(s). action: throw skin, bin was detected from 2 minute(s) and 52 second(s) to 3 minute(s) and 0 second(s). action: take pan was detected from 5 minute(s) and 30 second(s) to 5 minute(s) and 32 second(s). action: pour oil was detected from 5 minute(s) and 46 second(s) to 5 minute(s) and 48 second(s). action: turn-on kettle was detected from 5 minute(s) and 51 second(s) to 5 minute(s) and 54 second(s). action: open fridge was detected from 5 minute(s) and 57 second(s) to 5 minute(s) and 59 second(s). action: take, put stock, meat was detected from 5 minute(s) and 59 second(s) to 6 minute(s) and 13 second(s). action: take board:chopping was detected from 6 minute(s) and 21 second(s) to 6 minute(s) and 23 second(s). action: open bin was detected from 6 minute(s) and 24 second(s) to 6 minute(s) and 25 second(s). action: throw skin was detected from 6 minute(s) and 25 second(s) to 6 minute(s) and 27 second(s). action: remove, cut, take, peel, take, peel, peel garlic was detected from 7 minute(s) and 37 second(s) to 8 minute(s) and 17 second(s). action: mix onion was detected from 8 minute(s) and 21 second(s) to 8 minute(s) and 41 second(s). action: cut meat was detected from 8 minute(s) and 44 second(s) to 9 minute(s) and 2 second(s). action: press garlic was detected from 10 minute(s) and 5 second(s) to 10 minute(s) and 12 second(s). action: take, move, apply meat was detected from 10 minute(s) and 36 second(s) to 11 minute(s) and 14 second(s). action: adjust heat was detected from 12 minute(s) and 35 second(s) to 12 minute(s) and 37 second(s). action: set alarm was detected from 14 minute(s) and 1 second(s) to 14 minute(s) and 5 second(s). action: brush, wash, turn-off presser was detected from 14 minute(s) and 22 second(s) to 14 minute(s) and 41 second(s). action: dry hand was detected from 15 minute(s) and 0 second(s) to 15 minute(s) and 2 second(s). action: take garlic was detected from 15 minute(s) and 3 second(s) to 15 minute(s) and 6 second(s).
P02_111	In the video P02_111: action: mix meat was detected from 20 second(s) to 27 second(s). action: take paper was detected from 44 second(s) to 45 second(s).
P03_09	In the video P03_09: action: close bottle was detected from 11 second(s) to 12 second(s). action: apply butter was detected from 1 minute(s) and 51 second(s) to 2 minute(s) and 0 second(s). action: put lid was detected from 2 minute(s) and 9 second(s) to 2 minute(s) and 11 second(s). action: take cheese was detected from 2 minute(s) and 14 second(s) to 2 minute(s) and 15 second(s). action: close sandwich was detected from 2 minute(s) and 41 second(s) to 2 minute(s) and 42 second(s). action: put, close box was detected from 2 minute(s) and 54 second(s) to 3 minute(s) and 8 second(s). action: insert cheese was detected from 3 minute(s) and 9 second(s) to 3 minute(s) and 11 second(s). action: put, wash plate, bowl, knife was detected from 4 minute(s) and 13 second(s) to 5 minute(s) and 5 second(s). action: take board:chopping was detected from 5 minute(s) and 20 second(s) to 5 minute(s) and 21 second(s). action: wash, put lid, plate, knife, fork, spoon was detected from 6 minute(s) and 19 second(s) to 8 minute(s) and 25 second(s). action: wash top, hob was detected from 8 minute(s) and 30 second(s) to 8 minute(s) and 41 second(s). action: insert bin was detected from 8 minute(s) and 50 second(s) to 8 minute(s) and 52 second(s). action: wash bowl was detected from 9 minute(s) and 1 second(s) to 9 minute(s) and 20 second(s). action: dry hand was detected from 9 minute(s) and 32 second(s) to 9 minute(s) and 34 second(s). action: pour kettle was detected from 9 minute(s) and 39 second(s) to 9 minute(s) and 51 second(s). action: insert bag was detected from 9 minute(s) and 51 second(s) to 9 minute(s) and 52 second(s). action: wash tap was detected from 10 minute(s) and 13 second(s) to 10 minute(s) and 14 second(s).
P03_120	In the video P03_120: action: take kettle was detected from 1 minute(s) and 17 second(s) to 1 minute(s) and 19 second(s). action: open, cut, break butter was detected from 2 minute(s) and 10 second(s) to 3 minute(s) and 19 second(s). action: wash, dry hand was detected from 4 minute(s) and 24 second(s) to 4 minute(s) and 36 second(s). action: take grater, bowl was detected from 4 minute(s) and 52 second(s) to 4 minute(s) and 59 second(s). action: grate lemon was detected from 5 minute(s) and 47 second(s) to 5 minute(s) and 51 second(s). action: turn-on oven was detected from 6 minute(s) and 41 second(s) to 6 minute(s) and 42 second(s). action: squeeze lemon was detected from 7 minute(s) and 6 second(s) to 9 minute(s) and 17 second(s). action: wash hand was detected from 9 minute(s) and 20 second(s) to 9 minute(s) and 33 second(s). action: open cupboard was detected from 10 minute(s) and 4 second(s) to 10 minute(s) and 6 second(s). action: take cup was detected from 10 minute(s) and 6 second(s) to 10 minute(s) and 7 second(s). action: take fork was detected from 10 minute(s) and 26 second(s) to 10 minute(s) and 28 second(s). action: pat, break, take, pat, break egg was detected from 10 minute(s) and 32 second(s) to 10 minute(s) and 45 second(s). action: wash, dry hand was detected from 10 minute(s) and 55 second(s) to 11 minute(s) and 2 second(s). action: turn-down hob was detected from 11 minute(s) and 4 second(s) to 11 minute(s) and 5 second(s). action: mix egg was detected from 11 minute(s) and 10 second(s) to 11 minute(s) and 52 second(s). action: move, put pan was detected from 12 minute(s) and 36 second(s) to 12 minute(s) and 40 second(s). action: turn-down heat was detected from 12 minute(s) and 50 second(s) to 13 minute(s) and 3 second(s).
