video	description
ITNh8tWZPOA_5_25	"In the video ITNh8tWZPOA_5_25.avi:  action playing guitar was detected from 0 second(s) to 20 second(s)."
yBK02O1Oewc_20_35	"In the video yBK02O1Oewc_20_35.avi:  action building cabinet was detected from 0 second(s) to 3 second(s)."
swKrHEeOj9c_4_8	"In the video swKrHEeOj9c_4_8.avi:  action petting cat was detected from 0 second(s) to 4 second(s)."
lfGlDg47How_93_98	"In the video lfGlDg47How_93_98.avi:  action washing hands was detected from 0 second(s) to 5 second(s)."
b-d-CxHaKGU_10_30	"In the video b-d-CxHaKGU_10_30.avi:  action writing was detected from 0 second(s) to 20 second(s)."
u9prcUCHlqM_73_80	"In the video u9prcUCHlqM_73_80.avi:  action playing paintball was detected from 0 second(s) to 7 second(s)."
bXsKw3TOQXs_30_55	"In the video bXsKw3TOQXs_30_55.avi:  action folding paper was detected from 0 second(s) to 25 second(s)."
WAa4-cctmDk_55_70	"In the video WAa4-cctmDk_55_70.avi:  action answering questions was detected from 0 second(s) to 15 second(s)."
LF51fban_x4_300_325.avi	"In the video LF51fban_x4_300_325.avi:  action making bed was detected from 0 second(s) to 25 second(s)."
H1Bok7Dg7g8_21_26.avi	"In the video H1Bok7Dg7g8_21_26.avi:  action singing was detected from 0 second(s) to 5 second(s)."
16iNk1hLJt4_37_40.avi	"In the video 16iNk1hLJt4_37_40.avi:  action long jump was detected from 0 second(s) to 3 second(s)."
UXs3eq68ZjE_49_54.avi	"In the video UXs3eq68ZjE_49_54.avi:  action barbequing was detected from 0 second(s) to 5 second(s)."
urXDqw3S34I_12_17.avi	"In the video urXDqw3S34I_12_17.avi:  action ski jumping was detected from 0 second(s) to 5 second(s)."
_o1UXSxTjfo_68_80.avi	"In the video _o1UXSxTjfo_68_80.avi:  action counting money was detected from 0 second(s) to 12 second(s)."
Hd-NeIhbYGc_43_48.avi	"In the video Hd-NeIhbYGc_43_48.avi:  action riding or walking with horse was detected from 0 second(s) to 5 second(s)."
4lXdVS697DQ_10_25.avi	"In the video 4lXdVS697DQ_10_25.avi:  action sailing was detected from 0 second(s) to 15 second(s)."
pGsU4FekJQM_10_18.avi	"In the video pGsU4FekJQM_10_18.avi:  action petting animal (not cat) was detected from 0 second(s) to 7 second(s)."
UJKythlXAIY_17_21.avi	"In the video UJKythlXAIY_17_21.avi:  action robot dancing was detected from 0 second(s) to 4 second(s)."
x1i0UOssll8_141_151.avi	"In the video x1i0UOssll8_141_151.avi:  action snorkeling was detected from 0 second(s) to 10 second(s)."
XNV7hKVu-Xg_40_47.avi	"In the video XNV7hKVu-Xg_40_47.avi:  action riding mule was detected from 0 second(s) to 7 second(s)."
