video	description
Air_Force_One	""
Base_jumping	"In the video Base_jumping, Action: bungee jumping was detected from 2 second(s) to 6 second(s). Action: diving cliff was detected from 40 second(s) to 1 minute(s) and 46 second(s). Action: jumping into pool was detected from 1 minute(s) and 46 second(s) to 1 minute(s) and 54 second(s). Action: bungee jumping was detected from 1 minute(s) and 54 second(s) to 2 minute(s) and 7 second(s). Action: motorcycling was detected from 2 minute(s) and 19 second(s) to 2 minute(s) and 27 second(s)."
Bearpark_climbing	"In the video Bearpark_climbing,  Action: petting animal (not cat) was detected from 17 second(s) to 20 second(s). Action: climbing tree was detected from 38 second(s) to 54 second(s). Action: petting animal (not cat) was detected from 55 second(s) to 58 second(s). Action: climbing tree was detected from 1 minute(s) and 3 second(s) to 1 minute(s) and 40 second(s).  Action: petting animal (not cat) was detected from 1 minute(s) and 49 second(s) to 1 minute(s) and 51 second(s)."
Bike_Polo	"In the video Bike_Polo,  Action: riding a bike was detected from 39 second(s) to 54 second(s)."
Bus_in_Rock_Tunnel	"In the video Bus_in_Rock_Tunnel, Action: driving car was detected from 1 minute(s) and 31 second(s) to 1 minute(s) and 53 second(s). "
Car_railcrossing	"In the video Car_railcrossing, Action: driving car was detected from 1 minute(s) and 25 second(s) to 2 minute(s) and 0 second(s). Action: checking tires was detected from 2 minute(s) and 16 second(s) to 2 minute(s) and 19 second(s). Action: driving car was detected from 2 minute(s) and 43 second(s) to 2 minute(s) and 48 second(s)."
Cooking	"In the video Cooking, Action: barbequing was detected from 0 second(s) to 43 second(s)."
Eiffel_Tower	""
Excavators_river_crossing	""
Jumps	"In the video Jumps, Action: water sliding was detected from 2 second(s) to 21 second(s). Action: jumping into pool was detected from 21 second(s) to 30 second(s)."
Kids_playing_in_leaves	"In the video Kids_playing_in_leaves, Action: blowing leaves was detected from 2 second(s) to 1 minute(s) and 46 second(s)."
Notre_Dame	"In the video Notre_Dame, Action: cleaning windows was detected from 1 minute(s) and 48 second(s) to 1 minute(s) and 51 second(s). Action: texting was detected from 1 minute(s) and 53 second(s) to 1 minute(s) and 54 second(s)."
Paintball	"In the video Paintball, Action: catching or throwing frisbee was detected from 22 second(s) to 37 second(s). Action: passing American football (not in game) was detected from 37 second(s) to 1 minute(s) and 24 second(s)."
Playing_on_water_slide	"In the video Playing_on_water_slide, Action: water sliding was detected from 7 second(s) to 1 minute(s) and 26 second(s)."
Scuba	"In the video Scuba, Action: scuba diving was detected from 2 second(s) to 1 minute(s) and 2 second(s). Action: snorkeling was detected from 1 minute(s) and 2 second(s) to 1 minute(s) and 5 second(s). Action: scuba diving was detected from 1 minute(s) and 5 second(s) to 1 minute(s) and 14 second(s)."
St_Maarten_Landing	""
Valparaiso_Downhill	"In the video Valparaiso_Downhill, Action: parkour was detected from 11 second(s) to 13 second(s)."
car_over_camera	"In the video car_over_camera, Action: driving car was detected from 1 minute(s) and 31 second(s) to 1 minute(s) and 38 second(s). "
paluma_jump	"In the video paluma_jump, Action: diving cliff was detected from 2 second(s) to 1 minute(s) and 21 second(s)."
playing_ball	"In the video playing_ball, Action: walking the dog was detected from 5 second(s) to 44 second(s). Action: pushing cart was detected from 50 second(s) to 54 second(s). Action: feeding birds was detected from 58 second(s) to 1 minute(s) and 0 second(s). Action: walking the dog was detected from 1 minute(s) and 21 second(s) to 1 minute(s) and 31 second(s)."
