Video name	Description
v=mGsenLq9yEU.mp4	In the video v=mGsenLq9yEU  1 cow, 1 person appears from 308.80 seconds to 333.60 seconds. 2 person, 1 laptop, 1 tie, 1 chair appears from 485.60 seconds to 504.80 seconds. 1 person, 1 tie appears from 505.20 seconds to 945.20 seconds. 1 laptop, 2 person appears from 945.60 seconds to 976.40 seconds. 1 person, 1 tie appears from 1044.80 seconds to 1155.20 seconds. 1 person appears from 1156.40 seconds to 1179.20 seconds. 1 person appears from 1180.00 seconds to 1220.80 seconds. 1 person appears from 1259.60 seconds to 1356.00 seconds. 1 person, 1 tie appears from 1370.00 seconds to 1525.60 seconds. 2 person appears from 1539.60 seconds to 1557.60 seconds. 2 person appears from 1564.80 seconds to 1587.20 seconds. 2 person, 1 tie, 1 laptop appears from 1607.60 seconds to 1628.40 seconds. 1 person, 1 tie appears from 1628.80 seconds to 1757.60 seconds. 1 person, 1 tie appears from 1768.00 seconds to 2017.20 seconds. 1 person, 1 tie appears from 2066.40 seconds to 2323.60 seconds.
v=xPyj6pmYyEk.mp4	In the video v=xPyj6pmYyEk  1 bowl appears from 10.84 seconds to 25.86 seconds. 1 bowl appears from 30.86 seconds to 53.80 seconds. 1 bowl appears from 261.09 seconds to 304.89 seconds. 1 person appears from 327.83 seconds to 579.33 seconds. 1 banana appears from 648.56 seconds to 681.10 seconds. 1 wine glass appears from 867.12 seconds to 880.46 seconds. 1 bowl appears from 911.74 seconds to 932.60 seconds. 1 person appears from 953.04 seconds to 1011.01 seconds. 1 person appears from 1011.84 seconds to 1027.69 seconds. 1 spoon appears from 1063.56 seconds to 1100.68 seconds. 1 person appears from 1194.11 seconds to 1246.66 seconds. 1 person appears from 1295.04 seconds to 1329.66 seconds. 1 person appears from 1393.48 seconds to 1431.85 seconds. 1 bowl appears from 1738.82 seconds to 1755.50 seconds. 1 bowl appears from 1974.06 seconds to 2025.36 seconds.
v=hXjxOvlNxQM.mp4	In the video v=hXjxOvlNxQM  3 person appears from 0.33 seconds to 0.33 seconds. 1 person appears from 0.67 seconds to 2.00 seconds. 3 person appears from 2.33 seconds to 2.33 seconds. 1 person appears from 2.67 seconds to 3.33 seconds. 2 person appears from 3.67 seconds to 3.67 seconds. 1 person appears from 4.00 seconds to 4.33 seconds. 2 person appears from 4.67 seconds to 4.67 seconds. 1 person appears from 5.00 seconds to 18.67 seconds. 1 person appears from 19.33 seconds to 22.00 seconds. 1 person appears from 23.00 seconds to 24.67 seconds. 1 skateboard appears from 26.67 seconds to 27.00 seconds. 1 person appears from 31.67 seconds to 63.67 seconds. 1 person appears from 66.00 seconds to 67.00 seconds. 2 person appears from 67.33 seconds to 68.67 seconds. 1 person appears from 69.00 seconds to 69.33 seconds.
v=ArGF2CfOxkY.mp4	In the video v=ArGF2CfOxkY  2 person appears from 1.33 seconds to 9.01 seconds. 2 person appears from 10.34 seconds to 44.71 seconds. 2 person appears from 77.08 seconds to 84.42 seconds. 2 person appears from 101.77 seconds to 111.11 seconds. 2 person appears from 120.79 seconds to 130.13 seconds. 2 person appears from 137.80 seconds to 143.81 seconds. 2 person appears from 149.15 seconds to 168.84 seconds. 1 horse appears from 211.88 seconds to 218.55 seconds. 1 horse appears from 221.22 seconds to 227.89 seconds. 1 horse appears from 249.25 seconds to 256.26 seconds. 1 horse appears from 296.96 seconds to 303.97 seconds. 1 horse appears from 449.78 seconds to 455.45 seconds. 1 horse appears from 457.12 seconds to 466.80 seconds. 1 horse appears from 468.47 seconds to 475.81 seconds. 1 horse appears from 555.89 seconds to 570.24 seconds.
v=l866oFamRY4.mp4	In the video v=l866oFamRY4  1 dog, 3 person appears from 40.71 seconds to 43.38 seconds. 1 dog, 2 person appears from 44.71 seconds to 47.38 seconds. 1 person appears from 50.05 seconds to 53.72 seconds. 1 person, 1 dog appears from 54.05 seconds to 55.72 seconds. 1 dog, 2 person appears from 65.40 seconds to 68.40 seconds. 3 person appears from 100.43 seconds to 102.44 seconds. 4 person appears from 120.45 seconds to 122.79 seconds. 5 person appears from 130.80 seconds to 132.47 seconds. 2 person appears from 134.47 seconds to 137.47 seconds. 2 person appears from 140.14 seconds to 141.47 seconds. 3 person appears from 145.48 seconds to 146.81 seconds. 1 person appears from 151.15 seconds to 153.49 seconds. 2 person appears from 156.49 seconds to 157.82 seconds. 1 person appears from 159.49 seconds to 163.16 seconds. 1 person appears from 168.50 seconds to 170.17 seconds.
v=5aMigcn2cU8.mp4	In the video v=5aMigcn2cU8  4 person appears from 0.33 seconds to 72.41 seconds. 4 person appears from 77.74 seconds to 295.63 seconds. 4 person appears from 296.30 seconds to 455.45 seconds. 4 person appears from 488.15 seconds to 518.85 seconds. 4 person appears from 525.19 seconds to 587.59 seconds. 4 person appears from 588.25 seconds to 903.24 seconds. 4 person appears from 903.90 seconds to 925.59 seconds. 4 person appears from 927.26 seconds to 1024.02 seconds. 4 person appears from 1024.69 seconds to 1260.93 seconds. 4 person appears from 1273.61 seconds to 1304.30 seconds. 4 person appears from 1310.64 seconds to 1416.75 seconds. 4 person appears from 1417.42 seconds to 1539.20 seconds. 4 person appears from 1539.87 seconds to 1579.58 seconds. 4 person appears from 1580.25 seconds to 1843.17 seconds. 4 person appears from 1875.87 seconds to 1923.25 seconds.
v=DfpUMDpSbS4.mp4	In the video v=DfpUMDpSbS4  1 person appears from 0.33 seconds to 2357.36 seconds.
v=KzK4sf7RmRM.mp4	In the video v=KzK4sf7RmRM  1 carrot appears from 69.07 seconds to 167.83 seconds. 4 bowl appears from 217.55 seconds to 261.93 seconds. 3 bowl appears from 324.99 seconds to 343.34 seconds. 3 bowl appears from 347.68 seconds to 357.36 seconds. 5 bowl appears from 410.41 seconds to 424.09 seconds. 5 bowl appears from 443.11 seconds to 461.46 seconds. 5 bowl appears from 479.15 seconds to 503.17 seconds. 5 bowl appears from 516.52 seconds to 527.53 seconds. 1 donut appears from 568.57 seconds to 585.92 seconds. 2 donut appears from 658.32 seconds to 668.00 seconds. 5 bowl appears from 809.81 seconds to 889.56 seconds. 1 bowl appears from 919.92 seconds to 944.28 seconds. 1 bowl appears from 965.63 seconds to 977.64 seconds. 1 cake appears from 1017.35 seconds to 1276.28 seconds. 6 cake appears from 1354.35 seconds to 1365.36 seconds.
v=mfENhAPlES8.mp4	In the video v=mfENhAPlES8  1 person appears from 2.67 seconds to 97.33 seconds. 2 person appears from 98.00 seconds to 98.00 seconds. 1 person appears from 98.67 seconds to 294.67 seconds.
v=ZQs0S7WwYiM.mp4	In the video v=ZQs0S7WwYiM  1 carrot appears from 269.00 seconds to 269.33 seconds. 1 toothbrush appears from 289.00 seconds to 289.00 seconds. 1 cup appears from 411.33 seconds to 415.67 seconds. 1 person appears from 478.33 seconds to 488.00 seconds. 1 surfboard appears from 538.67 seconds to 546.33 seconds. 1 toothbrush appears from 643.00 seconds to 644.00 seconds. 1 skis appears from 753.33 seconds to 775.00 seconds. 1 skis appears from 786.67 seconds to 806.33 seconds. 1 person appears from 807.33 seconds to 809.67 seconds. 1 skis appears from 811.67 seconds to 816.33 seconds. 1 person, 1 skis appears from 821.00 seconds to 821.67 seconds. 1 person appears from 822.00 seconds to 993.33 seconds. 1 microwave appears from 1274.33 seconds to 1276.33 seconds. 1 person appears from 1409.33 seconds to 1421.33 seconds. 1 airplane appears from 1489.67 seconds to 1504.33 seconds.
v=4p6OjaHHSDs.mp4	In the video v=4p6OjaHHSDs  1 person appears from 30.00 seconds to 287.33 seconds. 1 car appears from 346.00 seconds to 346.67 seconds. 1 person appears from 370.00 seconds to 371.33 seconds.
v=yBjsQN4fzVY.mp4	In the video v=yBjsQN4fzVY  2 person appears from 3.34 seconds to 161.83 seconds. 1 person appears from 225.89 seconds to 262.26 seconds. 1 person appears from 263.26 seconds to 312.65 seconds. 2 person appears from 387.72 seconds to 494.49 seconds. 1 person appears from 507.51 seconds to 551.55 seconds. 1 bird appears from 551.88 seconds to 592.93 seconds. 1 person appears from 597.26 seconds to 720.72 seconds. 1 person appears from 730.40 seconds to 764.10 seconds. 1 person appears from 772.44 seconds to 804.14 seconds. 1 person appears from 815.48 seconds to 884.22 seconds. 1 person appears from 911.58 seconds to 938.27 seconds. 1 person appears from 1033.37 seconds to 1091.09 seconds. 1 person appears from 1091.76 seconds to 1187.19 seconds. 1 person appears from 1209.54 seconds to 1339.34 seconds. 1 person appears from 1405.40 seconds to 1621.95 seconds.
v=gmFioIDX4X0.mp4	In the video v=gmFioIDX4X0  1 person, 1 boat appears from 2.67 seconds to 11.33 seconds. 1 boat appears from 54.67 seconds to 62.67 seconds. 1 boat appears from 80.00 seconds to 90.00 seconds. 1 boat appears from 181.33 seconds to 224.67 seconds. 1 boat appears from 231.33 seconds to 276.67 seconds. 1 person appears from 316.00 seconds to 331.33 seconds. 1 person appears from 460.67 seconds to 468.67 seconds. 2 person appears from 600.00 seconds to 608.67 seconds. 1 person appears from 614.67 seconds to 658.67 seconds. 1 person appears from 660.00 seconds to 677.34 seconds. 1 person appears from 740.67 seconds to 751.34 seconds. 1 person appears from 758.67 seconds to 767.34 seconds. 1 boat appears from 786.00 seconds to 798.00 seconds. 1 person appears from 886.67 seconds to 898.67 seconds. 1 person appears from 929.34 seconds to 938.67 seconds.
v=dxvKVBrNMDw.mp4	In the video v=dxvKVBrNMDw  1 person appears from 0.33 seconds to 34.70 seconds. 3 person appears from 40.71 seconds to 60.06 seconds. 1 person appears from 77.41 seconds to 101.10 seconds. 1 person appears from 101.77 seconds to 132.47 seconds. 1 person appears from 198.87 seconds to 285.62 seconds. 1 person appears from 291.62 seconds to 347.01 seconds. 1 person appears from 352.35 seconds to 394.06 seconds. 1 person appears from 396.40 seconds to 415.08 seconds. 1 person appears from 422.09 seconds to 512.51 seconds. 1 person appears from 513.18 seconds to 529.86 seconds. 1 person appears from 530.53 seconds to 726.73 seconds. 1 person appears from 734.73 seconds to 917.25 seconds. 1 person appears from 917.92 seconds to 1002.00 seconds. 3 person appears from 1014.35 seconds to 1044.04 seconds. 1 person appears from 1062.06 seconds to 1078.41 seconds.
v=KujAY-AST9M.mp4	In the video v=KujAY-AST9M  3 person appears from 0.33 seconds to 16.02 seconds. 1 person appears from 21.35 seconds to 37.04 seconds. 1 person appears from 46.05 seconds to 58.73 seconds. 3 person appears from 132.13 seconds to 142.14 seconds. 3 person appears from 175.51 seconds to 183.52 seconds. 2 person appears from 196.53 seconds to 204.20 seconds. 1 person appears from 323.32 seconds to 333.00 seconds. 2 person appears from 430.43 seconds to 439.11 seconds. 1 person appears from 542.21 seconds to 556.56 seconds. 1 person appears from 564.90 seconds to 576.91 seconds. 1 person appears from 742.74 seconds to 763.10 seconds. 3 person appears from 773.44 seconds to 781.11 seconds. 4 person appears from 894.56 seconds to 902.23 seconds. 4 person appears from 1503.84 seconds to 1513.85 seconds. 3 person appears from 1582.25 seconds to 1589.92 seconds.
v=-YreL-4QCLg.mp4	In the video v=-YreL-4QCLg  1 person appears from 29.03 seconds to 250.58 seconds. 2 person appears from 250.92 seconds to 251.25 seconds. 1 person appears from 251.58 seconds to 252.59 seconds. 2 person appears from 252.92 seconds to 253.25 seconds. 1 person appears from 253.59 seconds to 257.92 seconds. 2 person appears from 258.26 seconds to 258.26 seconds. 1 person appears from 258.59 seconds to 260.59 seconds. 1 horse appears from 261.26 seconds to 261.59 seconds. 1 person appears from 263.93 seconds to 265.60 seconds. 2 person appears from 267.27 seconds to 269.94 seconds. 1 person appears from 270.27 seconds to 271.94 seconds. 2 person appears from 273.61 seconds to 274.27 seconds. 1 person appears from 275.61 seconds to 372.04 seconds. 1 person, 1 baseball bat appears from 372.37 seconds to 372.71 seconds. 1 person appears from 373.04 seconds to 414.08 seconds.
v=sQZaEt-ssCs.mp4	In the video v=sQZaEt-ssCs  2 person appears from 2.00 seconds to 65.60 seconds. 3 person appears from 208.00 seconds to 220.00 seconds. 2 person appears from 305.60 seconds to 318.00 seconds. 2 person appears from 368.00 seconds to 403.60 seconds. 2 person appears from 404.80 seconds to 460.80 seconds. 2 person appears from 531.20 seconds to 546.80 seconds. 2 person appears from 583.20 seconds to 598.00 seconds. 2 person appears from 623.60 seconds to 635.60 seconds. 2 person appears from 669.60 seconds to 721.60 seconds. 2 person appears from 722.40 seconds to 733.60 seconds. 1 person appears from 820.00 seconds to 841.60 seconds. 1 person appears from 842.40 seconds to 858.00 seconds. 1 person appears from 864.40 seconds to 897.60 seconds. 3 person appears from 920.40 seconds to 932.80 seconds. 2 person appears from 954.80 seconds to 988.40 seconds.
