Video name	Description
P03_09.MP4	In the video P03_09  1 refrigerator appears from 0.25 seconds to 12.51 seconds. 1 refrigerator appears from 14.26 seconds to 15.02 seconds. 1 bottle appears from 26.03 seconds to 26.78 seconds. 1 person appears from 29.78 seconds to 31.03 seconds. 1 refrigerator appears from 35.79 seconds to 39.79 seconds. 1 refrigerator appears from 48.80 seconds to 49.30 seconds. 1 person appears from 54.30 seconds to 78.83 seconds. 1 person appears from 133.13 seconds to 137.14 seconds. 1 bottle appears from 144.64 seconds to 145.15 seconds. 1 person appears from 161.41 seconds to 188.69 seconds. 1 person appears from 208.71 seconds to 218.97 seconds. 1 person appears from 221.97 seconds to 257.51 seconds. 1 person appears from 260.01 seconds to 261.76 seconds. 1 person appears from 264.26 seconds to 285.03 seconds. 1 person appears from 300.80 seconds to 310.56 seconds.
P02_109.MP4	In the video P02_109  1 person appears from 30.90 seconds to 54.00 seconds. 1 person appears from 55.50 seconds to 85.80 seconds. 1 person appears from 91.50 seconds to 161.10 seconds. 1 person appears from 203.40 seconds to 212.10 seconds. 1 person appears from 250.80 seconds to 259.20 seconds. 1 person appears from 262.80 seconds to 266.70 seconds. 1 person appears from 275.10 seconds to 283.20 seconds. 1 person appears from 294.60 seconds to 299.40 seconds. 1 person appears from 331.50 seconds to 336.60 seconds. 1 person appears from 338.70 seconds to 360.60 seconds. 1 person appears from 366.00 seconds to 371.70 seconds. 1 person appears from 375.30 seconds to 382.50 seconds. 1 person appears from 387.00 seconds to 399.30 seconds. 1 person appears from 399.90 seconds to 413.70 seconds. 1 person appears from 427.20 seconds to 448.20 seconds.
P05_08.MP4	In the video P05_08  1 person appears from 1.50 seconds to 5.01 seconds. 1 person appears from 11.51 seconds to 15.77 seconds. 1 person appears from 59.56 seconds to 64.32 seconds. 2 bottle appears from 147.65 seconds to 151.40 seconds. 2 bottle appears from 184.44 seconds to 195.45 seconds. 1 spoon appears from 196.20 seconds to 200.70 seconds. 1 person appears from 245.75 seconds to 249.50 seconds. 1 bowl appears from 341.35 seconds to 345.10 seconds. 1 bowl appears from 345.60 seconds to 358.11 seconds. 1 bowl appears from 359.36 seconds to 374.13 seconds. 1 cup appears from 380.13 seconds to 386.64 seconds. 1 cup appears from 400.91 seconds to 409.16 seconds. 1 person appears from 409.41 seconds to 420.18 seconds. 1 person appears from 428.93 seconds to 434.19 seconds. 1 pizza appears from 443.70 seconds to 450.46 seconds.
P01_101.MP4	In the video P01_101  1 person appears from 7.20 seconds to 15.60 seconds. 1 person appears from 20.40 seconds to 28.80 seconds. 1 person appears from 47.10 seconds to 58.20 seconds. 1 person appears from 64.50 seconds to 106.80 seconds. 1 person appears from 172.20 seconds to 181.50 seconds. 1 person appears from 197.40 seconds to 215.70 seconds. 1 person appears from 222.60 seconds to 231.90 seconds. 1 person appears from 260.40 seconds to 269.10 seconds. 1 person appears from 281.40 seconds to 308.70 seconds. 1 person appears from 368.40 seconds to 378.00 seconds. 1 person appears from 435.30 seconds to 480.60 seconds. 1 person appears from 491.40 seconds to 507.90 seconds. 1 person appears from 590.10 seconds to 607.80 seconds. 1 person appears from 729.30 seconds to 745.80 seconds. 1 person appears from 751.80 seconds to 793.20 seconds.
P01_107.MP4	In the video P01_107  1 mouse appears from 3.00 seconds to 3.00 seconds. 1 keyboard appears from 3.30 seconds to 4.20 seconds. 1 person appears from 6.60 seconds to 6.90 seconds. 1 cup appears from 7.80 seconds to 8.70 seconds. 1 cup appears from 10.20 seconds to 11.10 seconds. 1 person appears from 14.10 seconds to 15.00 seconds. 1 person appears from 15.60 seconds to 16.50 seconds. 1 person appears from 18.60 seconds to 21.00 seconds. 1 person appears from 21.60 seconds to 24.90 seconds. 1 person appears from 26.40 seconds to 29.10 seconds. 1 person appears from 32.40 seconds to 35.40 seconds. 1 person appears from 38.10 seconds to 46.50 seconds. 1 person appears from 48.00 seconds to 51.30 seconds. 1 keyboard appears from 52.80 seconds to 54.30 seconds. 1 person appears from 56.40 seconds to 57.30 seconds.
P04_106.MP4	In the video P04_106  1 person appears from 1.50 seconds to 2.40 seconds. 1 person appears from 4.20 seconds to 4.50 seconds. 1 person appears from 8.10 seconds to 8.40 seconds. 1 person, 1 bottle appears from 9.60 seconds to 10.20 seconds. 1 person appears from 12.60 seconds to 25.50 seconds. 1 person appears from 26.40 seconds to 51.90 seconds. 1 bottle appears from 56.70 seconds to 57.30 seconds. 1 person appears from 61.20 seconds to 62.10 seconds. 1 sandwich appears from 70.80 seconds to 71.40 seconds. 1 person appears from 73.50 seconds to 74.70 seconds. 1 person appears from 82.80 seconds to 99.90 seconds. 1 person appears from 107.40 seconds to 108.00 seconds. 1 bottle appears from 109.80 seconds to 111.00 seconds. 1 person appears from 111.60 seconds to 121.20 seconds. 1 bottle appears from 122.10 seconds to 123.00 seconds.
P03_123.MP4	In the video P03_123  1 person appears from 21.30 seconds to 22.20 seconds. 1 spoon appears from 24.30 seconds to 24.90 seconds. 1 spoon appears from 25.50 seconds to 26.40 seconds. 1 person appears from 31.50 seconds to 33.00 seconds. 1 spoon, 1 person appears from 34.20 seconds to 34.80 seconds. 1 cup appears from 38.70 seconds to 40.20 seconds. 1 cup appears from 47.10 seconds to 49.80 seconds. 1 sink appears from 50.70 seconds to 53.40 seconds. 1 cup appears from 53.70 seconds to 54.90 seconds. 1 cup appears from 55.80 seconds to 56.40 seconds. 1 microwave, 1 person appears from 110.70 seconds to 111.60 seconds. 1 person appears from 112.20 seconds to 113.70 seconds. 1 bowl appears from 122.40 seconds to 123.00 seconds. 1 person appears from 127.80 seconds to 128.70 seconds. 1 microwave appears from 153.60 seconds to 154.80 seconds.
P05_09.MP4	In the video P05_09  1 person appears from 4.50 seconds to 8.76 seconds. 1 person appears from 13.76 seconds to 15.77 seconds. 1 person appears from 31.78 seconds to 35.04 seconds. 1 cup appears from 41.29 seconds to 45.80 seconds. 1 person appears from 48.30 seconds to 50.80 seconds. 1 person appears from 51.55 seconds to 54.55 seconds. 1 cup appears from 63.06 seconds to 83.58 seconds. 1 person appears from 87.84 seconds to 89.59 seconds. 1 person appears from 116.37 seconds to 128.63 seconds. 1 pizza appears from 133.63 seconds to 141.14 seconds. 1 pizza appears from 141.64 seconds to 144.14 seconds. 1 person appears from 144.64 seconds to 147.15 seconds. 1 pizza appears from 148.65 seconds to 150.40 seconds. 1 person appears from 153.65 seconds to 155.91 seconds. 1 person appears from 187.94 seconds to 200.45 seconds.
P04_01.MP4	In the video P04_01  1 bottle appears from 2.00 seconds to 7.51 seconds. 1 person appears from 47.05 seconds to 51.30 seconds. 1 person appears from 59.56 seconds to 72.57 seconds. 1 bottle appears from 122.37 seconds to 124.88 seconds. 1 cell phone appears from 164.42 seconds to 170.17 seconds. 1 bottle appears from 224.98 seconds to 227.98 seconds. 1 bottle appears from 278.53 seconds to 283.79 seconds. 2 bottle appears from 286.29 seconds to 290.55 seconds. 1 bottle appears from 402.91 seconds to 406.91 seconds. 1 bowl, 1 bottle appears from 410.17 seconds to 414.92 seconds. 1 bottle appears from 443.45 seconds to 448.96 seconds. 1 bottle appears from 492.75 seconds to 495.25 seconds. 2 bottle appears from 528.79 seconds to 533.79 seconds. 2 bottle appears from 536.54 seconds to 541.05 seconds. 2 bottle appears from 545.30 seconds to 550.31 seconds.
P02_101.MP4	In the video P02_101  1 cup appears from 2.10 seconds to 2.40 seconds. 1 person appears from 3.00 seconds to 7.50 seconds. 1 person appears from 9.90 seconds to 14.40 seconds. 1 person appears from 17.10 seconds to 27.30 seconds. 1 person appears from 29.10 seconds to 37.80 seconds. 1 person appears from 46.50 seconds to 53.40 seconds. 1 person appears from 55.20 seconds to 57.60 seconds. 1 person appears from 58.20 seconds to 71.70 seconds. 1 person appears from 73.20 seconds to 79.50 seconds. 1 person appears from 80.40 seconds to 82.20 seconds. 1 person appears from 82.80 seconds to 87.60 seconds. 1 person appears from 88.20 seconds to 89.10 seconds. 1 person appears from 90.00 seconds to 93.90 seconds. 1 person appears from 94.50 seconds to 110.10 seconds. 1 person appears from 111.30 seconds to 113.10 seconds.
