Video name	Description
paluma_jump.avi	In the video paluma_jump  2 person appears from 1.67 seconds to 4.33 seconds. 3 person appears from 4.67 seconds to 5.67 seconds. 3 person appears from 14.67 seconds to 16.00 seconds. 2 person appears from 16.33 seconds to 18.33 seconds. 3 person appears from 18.67 seconds to 19.67 seconds. 2 person appears from 21.67 seconds to 31.67 seconds. 2 person appears from 35.33 seconds to 37.67 seconds. 2 person appears from 38.67 seconds to 39.67 seconds. 2 person appears from 41.67 seconds to 43.00 seconds. 2 person appears from 43.67 seconds to 49.00 seconds. 2 person appears from 49.67 seconds to 56.00 seconds. 2 person appears from 56.67 seconds to 60.67 seconds. 2 person appears from 61.33 seconds to 62.33 seconds. 1 person appears from 62.67 seconds to 81.67 seconds. 1 person appears from 83.00 seconds to 86.00 seconds.
Air_Force_One.avi	In the video Air_Force_One  1 airplane appears from 11.67 seconds to 145.67 seconds.
Cooking.avi	In the video Cooking  1 person appears from 1.00 seconds to 15.67 seconds. 1 cake appears from 16.33 seconds to 16.33 seconds. 1 person appears from 16.67 seconds to 17.33 seconds. 1 cake appears from 17.67 seconds to 18.00 seconds. 1 person appears from 18.67 seconds to 18.67 seconds. 1 wine glass appears from 20.67 seconds to 20.67 seconds. 1 cake appears from 22.00 seconds to 31.00 seconds. 1 wine glass appears from 36.33 seconds to 39.00 seconds. 1 person appears from 40.33 seconds to 40.33 seconds.
Eiffel_Tower.avi	In the video Eiffel_Tower  1 person appears from 95.33 seconds to 96.33 seconds. 4 person appears from 96.67 seconds to 96.67 seconds. 6 person appears from 97.00 seconds to 97.00 seconds. 3 person appears from 97.33 seconds to 97.33 seconds. 4 person appears from 97.67 seconds to 97.67 seconds. 1 person appears from 98.00 seconds to 99.67 seconds. 2 person appears from 100.67 seconds to 100.67 seconds. 1 person appears from 109.67 seconds to 110.00 seconds. 2 person appears from 110.33 seconds to 110.33 seconds. 1 person appears from 128.33 seconds to 156.00 seconds. 2 person appears from 156.33 seconds to 156.67 seconds. 3 person appears from 157.00 seconds to 157.00 seconds. 2 person appears from 157.33 seconds to 163.67 seconds.
Bike_Polo.avi	In the video Bike_Polo  1 bicycle appears from 16.00 seconds to 17.33 seconds. 1 person, 1 bicycle appears from 19.67 seconds to 20.67 seconds. 1 person appears from 24.00 seconds to 24.33 seconds. 1 bicycle, 1 person appears from 24.67 seconds to 25.00 seconds. 1 person appears from 38.00 seconds to 40.33 seconds. 1 person, 1 bicycle appears from 40.67 seconds to 41.67 seconds. 1 bicycle appears from 43.67 seconds to 44.33 seconds. 1 bicycle, 1 person appears from 45.67 seconds to 46.67 seconds. 1 person appears from 48.00 seconds to 48.67 seconds. 1 person appears from 56.33 seconds to 58.33 seconds. 1 person appears from 59.33 seconds to 61.33 seconds. 1 person appears from 63.33 seconds to 65.33 seconds. 1 bicycle, 1 person appears from 70.00 seconds to 71.00 seconds. 1 person appears from 71.33 seconds to 72.67 seconds. 1 person appears from 83.67 seconds to 85.67 seconds.
car_over_camera.avi	In the video car_over_camera  1 car appears from 63.00 seconds to 63.00 seconds. 1 truck appears from 72.00 seconds to 72.00 seconds. 1 clock, 1 car appears from 87.67 seconds to 87.67 seconds. 1 clock appears from 88.33 seconds to 88.33 seconds. 1 boat appears from 89.00 seconds to 89.00 seconds. 1 car appears from 89.33 seconds to 92.00 seconds. 1 boat appears from 92.67 seconds to 92.67 seconds. 1 car appears from 93.00 seconds to 108.67 seconds. 1 truck appears from 144.67 seconds to 144.67 seconds.
Car_railcrossing.avi	In the video Car_railcrossing  1 car, 2 person appears from 0.33 seconds to 1.00 seconds. 1 car, 2 person appears from 4.33 seconds to 5.00 seconds. 1 car, 1 person appears from 14.67 seconds to 16.33 seconds. 2 car appears from 29.00 seconds to 30.67 seconds. 2 car, 3 person appears from 38.00 seconds to 39.33 seconds. 1 car, 4 person appears from 43.67 seconds to 44.67 seconds. 1 car, 3 person appears from 48.33 seconds to 50.00 seconds. 4 person, 1 car appears from 50.67 seconds to 51.67 seconds. 1 car, 4 person appears from 56.67 seconds to 57.67 seconds. 1 person, 1 car appears from 73.33 seconds to 74.33 seconds. 3 person appears from 97.00 seconds to 98.33 seconds. 2 person appears from 117.33 seconds to 118.33 seconds. 1 person appears from 118.67 seconds to 120.00 seconds. 4 person appears from 131.67 seconds to 133.00 seconds. 1 person appears from 149.33 seconds to 153.67 seconds.
Jumps.avi	In the video Jumps  1 person appears from 0.67 seconds to 4.67 seconds. 1 boat appears from 5.33 seconds to 5.33 seconds. 1 airplane appears from 11.00 seconds to 11.00 seconds. 1 boat appears from 16.00 seconds to 16.33 seconds. 1 boat, 1 person appears from 18.33 seconds to 18.33 seconds. 1 boat appears from 18.67 seconds to 18.67 seconds. 1 person appears from 19.00 seconds to 24.00 seconds. 1 boat appears from 25.00 seconds to 28.67 seconds. 1 motorcycle appears from 29.33 seconds to 29.33 seconds. 1 person appears from 29.67 seconds to 29.67 seconds. 2 person appears from 30.00 seconds to 30.00 seconds.
Bearpark_climbing.avi	In the video Bearpark_climbing  1 bear appears from 2.00 seconds to 2.00 seconds. 1 elephant appears from 2.33 seconds to 2.33 seconds. 1 bear appears from 2.67 seconds to 22.67 seconds. 1 bear, 1 elephant appears from 23.00 seconds to 23.00 seconds. 1 bear appears from 23.33 seconds to 57.67 seconds. 1 cow appears from 60.67 seconds to 60.67 seconds. 1 person appears from 83.67 seconds to 84.00 seconds. 1 person appears from 84.67 seconds to 86.33 seconds. 1 bear appears from 90.67 seconds to 96.67 seconds. 1 bear appears from 97.67 seconds to 100.67 seconds. 2 bear appears from 101.00 seconds to 102.00 seconds. 1 bear appears from 102.67 seconds to 103.00 seconds. 2 bear appears from 103.33 seconds to 103.67 seconds. 1 bear appears from 104.00 seconds to 106.00 seconds. 2 bear appears from 107.33 seconds to 111.67 seconds.
Excavators_river_crossing.avi	In the video Excavators_river_crossing  1 person appears from 10.00 seconds to 15.00 seconds. 1 person appears from 68.67 seconds to 91.33 seconds. 1 person appears from 92.00 seconds to 94.00 seconds. 1 person appears from 96.67 seconds to 99.33 seconds. 1 person appears from 148.00 seconds to 150.33 seconds. 1 person appears from 155.00 seconds to 161.00 seconds. 1 person appears from 161.67 seconds to 163.67 seconds. 1 person appears from 197.00 seconds to 202.00 seconds. 1 person appears from 206.67 seconds to 219.33 seconds. 2 person appears from 224.00 seconds to 226.00 seconds. 1 person appears from 226.67 seconds to 230.33 seconds. 1 tv appears from 233.33 seconds to 235.67 seconds. 1 boat appears from 247.00 seconds to 269.33 seconds. 1 person appears from 278.33 seconds to 286.67 seconds. 1 person appears from 288.67 seconds to 291.67 seconds.
