Video Name	Description
St_Maarten_LandingNone	The video contains 5 scenes. The scene 1 goes from 0 second(s) to 2 second(s). The scene 2 goes from 2 second(s) to 30 second(s). The scene 3 goes from 30 second(s) to 40 second(s). The scene 4 goes from 40 second(s) to 51 second(s). The scene 5 goes from 51 second(s) to 58 second(s).
ScubaNone	The video contains 2 scenes. The scene 1 goes from 0 second(s) to 1 minute(s) and 11 second(s). The scene 2 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 14 second(s).
Eiffel_TowerNone	The video contains 26 scenes. The scene 1 goes from 0 second(s) to 10 second(s). The scene 2 goes from 10 second(s) to 19 second(s). The scene 3 goes from 19 second(s) to 20 second(s). The scene 4 goes from 20 second(s) to 29 second(s). The scene 5 goes from 29 second(s) to 31 second(s). The scene 6 goes from 31 second(s) to 38 second(s). The scene 7 goes from 38 second(s) to 40 second(s). The scene 8 goes from 40 second(s) to 47 second(s). The scene 9 goes from 47 second(s) to 55 second(s). The scene 10 goes from 55 second(s) to 1 minute(s) and 8 second(s). The scene 11 goes from 1 minute(s) and 8 second(s) to 1 minute(s) and 11 second(s). The scene 12 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 17 second(s). The scene 13 goes from 1 minute(s) and 17 second(s) to 1 minute(s) and 31 second(s). The scene 14 goes from 1 minute(s) and 31 second(s) to 1 minute(s) and 40 second(s). The scene 15 goes from 1 minute(s) and 40 second(s) to 1 minute(s) and 43 second(s). The scene 16 goes from 1 minute(s) and 43 second(s) to 1 minute(s) and 52 second(s). The scene 17 goes from 1 minute(s) and 52 second(s) to 1 minute(s) and 55 second(s). The scene 18 goes from 1 minute(s) and 55 second(s) to 2 minute(s) and 9 second(s). The scene 19 goes from 2 minute(s) and 9 second(s) to 2 minute(s) and 12 second(s). The scene 20 goes from 2 minute(s) and 12 second(s) to 2 minute(s) and 18 second(s). The scene 21 goes from 2 minute(s) and 18 second(s) to 2 minute(s) and 22 second(s). The scene 22 goes from 2 minute(s) and 22 second(s) to 2 minute(s) and 27 second(s). The scene 23 goes from 2 minute(s) and 27 second(s) to 2 minute(s) and 33 second(s). The scene 24 goes from 2 minute(s) and 33 second(s) to 2 minute(s) and 35 second(s). The scene 25 goes from 2 minute(s) and 35 second(s) to 2 minute(s) and 40 second(s). The scene 26 goes from 2 minute(s) and 40 second(s) to 2 minute(s) and 45 second(s).
Base_jumpingNone	The video contains 10 scenes. The scene 1 goes from 0 second(s) to 20 second(s). The scene 2 goes from 20 second(s) to 40 second(s). The scene 3 goes from 40 second(s) to 1 minute(s) and 1 second(s). The scene 4 goes from 1 minute(s) and 1 second(s) to 1 minute(s) and 21 second(s). The scene 5 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 27 second(s). The scene 6 goes from 1 minute(s) and 27 second(s) to 1 minute(s) and 36 second(s). The scene 7 goes from 1 minute(s) and 36 second(s) to 1 minute(s) and 42 second(s). The scene 8 goes from 1 minute(s) and 42 second(s) to 1 minute(s) and 51 second(s). The scene 9 goes from 1 minute(s) and 51 second(s) to 2 minute(s) and 8 second(s). The scene 10 goes from 2 minute(s) and 8 second(s) to 2 minute(s) and 37 second(s).
Bus_in_Rock_TunnelNone	The video contains 10 scenes. The scene 1 goes from 0 second(s) to 30 second(s). The scene 2 goes from 30 second(s) to 1 minute(s) and 1 second(s). The scene 3 goes from 1 minute(s) and 1 second(s) to 1 minute(s) and 11 second(s). The scene 4 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 21 second(s). The scene 5 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 32 second(s). The scene 6 goes from 1 minute(s) and 32 second(s) to 1 minute(s) and 42 second(s). The scene 7 goes from 1 minute(s) and 42 second(s) to 2 minute(s) and 2 second(s). The scene 8 goes from 2 minute(s) and 2 second(s) to 2 minute(s) and 22 second(s). The scene 9 goes from 2 minute(s) and 22 second(s) to 2 minute(s) and 33 second(s). The scene 10 goes from 2 minute(s) and 33 second(s) to 2 minute(s) and 51 second(s).
Kids_playing_in_leavesNone	The video contains 3 scenes. The scene 1 goes from 0 second(s) to 30 second(s). The scene 2 goes from 30 second(s) to 1 minute(s) and 21 second(s). The scene 3 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 46 second(s).
Air_Force_OneNone	The video contains 1 scene.
playing_ballNone	The video contains 5 scenes. The scene 1 goes from 0 second(s) to 30 second(s). The scene 2 goes from 30 second(s) to 41 second(s). The scene 3 goes from 41 second(s) to 1 minute(s) and 21 second(s). The scene 4 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 42 second(s). The scene 5 goes from 1 minute(s) and 42 second(s) to 1 minute(s) and 44 second(s).
paluma_jumpNone	The video contains 2 scenes. The scene 1 goes from 0 second(s) to 41 second(s). The scene 2 goes from 41 second(s) to 1 minute(s) and 25 second(s).
car_over_cameraNone	The video contains 13 scenes. The scene 1 goes from 0 second(s) to 35 second(s). The scene 2 goes from 35 second(s) to 40 second(s). The scene 3 goes from 40 second(s) to 55 second(s). The scene 4 goes from 55 second(s) to 1 minute(s) and 1 second(s). The scene 5 goes from 1 minute(s) and 1 second(s) to 1 minute(s) and 11 second(s). The scene 6 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 32 second(s). The scene 7 goes from 1 minute(s) and 32 second(s) to 1 minute(s) and 51 second(s). The scene 8 goes from 1 minute(s) and 51 second(s) to 1 minute(s) and 52 second(s). The scene 9 goes from 1 minute(s) and 52 second(s) to 1 minute(s) and 54 second(s). The scene 10 goes from 1 minute(s) and 54 second(s) to 2 minute(s) and 2 second(s). The scene 11 goes from 2 minute(s) and 2 second(s) to 2 minute(s) and 19 second(s). The scene 12 goes from 2 minute(s) and 19 second(s) to 2 minute(s) and 22 second(s). The scene 13 goes from 2 minute(s) and 22 second(s) to 2 minute(s) and 26 second(s).
Bike_PoloNone	The video contains 2 scenes. The scene 1 goes from 0 second(s) to 20 second(s). The scene 2 goes from 20 second(s) to 1 minute(s) and 42 second(s).
Bearpark_climbingNone	The video contains 1 scene.
JumpsNone	The video contains 4 scenes. The scene 1 goes from 0 second(s) to 2 second(s). The scene 2 goes from 2 second(s) to 20 second(s). The scene 3 goes from 20 second(s) to 31 second(s). The scene 4 goes from 31 second(s) to 31 second(s).
Playing_on_water_slideNone	The video contains 5 scenes. The scene 1 goes from 0 second(s) to 30 second(s). The scene 2 goes from 30 second(s) to 40 second(s). The scene 3 goes from 40 second(s) to 51 second(s). The scene 4 goes from 51 second(s) to 1 minute(s) and 1 second(s). The scene 5 goes from 1 minute(s) and 1 second(s) to 1 minute(s) and 42 second(s).
Valparaiso_DownhillNone	The video contains 2 scenes. The scene 1 goes from 0 second(s) to 2 minute(s) and 33 second(s). The scene 2 goes from 2 minute(s) and 33 second(s) to 2 minute(s) and 52 second(s).
PaintballNone	The video contains 9 scenes. The scene 1 goes from 0 second(s) to 41 second(s). The scene 2 goes from 41 second(s) to 1 minute(s) and 21 second(s). The scene 3 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 32 second(s). The scene 4 goes from 1 minute(s) and 32 second(s) to 2 minute(s) and 43 second(s). The scene 5 goes from 2 minute(s) and 43 second(s) to 2 minute(s) and 53 second(s). The scene 6 goes from 2 minute(s) and 53 second(s) to 3 minute(s) and 3 second(s). The scene 7 goes from 3 minute(s) and 3 second(s) to 3 minute(s) and 9 second(s). The scene 8 goes from 3 minute(s) and 9 second(s) to 3 minute(s) and 16 second(s). The scene 9 goes from 3 minute(s) and 16 second(s) to 3 minute(s) and 23 second(s).
Excavators_river_crossingNone	The video contains 16 scenes. The scene 1 goes from 0 second(s) to 40 second(s). The scene 2 goes from 40 second(s) to 51 second(s). The scene 3 goes from 51 second(s) to 1 minute(s) and 12 second(s). The scene 4 goes from 1 minute(s) and 12 second(s) to 1 minute(s) and 22 second(s). The scene 5 goes from 1 minute(s) and 22 second(s) to 1 minute(s) and 52 second(s). The scene 6 goes from 1 minute(s) and 52 second(s) to 2 minute(s) and 3 second(s). The scene 7 goes from 2 minute(s) and 3 second(s) to 2 minute(s) and 23 second(s). The scene 8 goes from 2 minute(s) and 23 second(s) to 2 minute(s) and 33 second(s). The scene 9 goes from 2 minute(s) and 33 second(s) to 2 minute(s) and 53 second(s). The scene 10 goes from 2 minute(s) and 53 second(s) to 3 minute(s) and 4 second(s). The scene 11 goes from 3 minute(s) and 4 second(s) to 3 minute(s) and 14 second(s). The scene 12 goes from 3 minute(s) and 14 second(s) to 4 minute(s) and 15 second(s). The scene 13 goes from 4 minute(s) and 15 second(s) to 4 minute(s) and 25 second(s). The scene 14 goes from 4 minute(s) and 25 second(s) to 4 minute(s) and 35 second(s). The scene 15 goes from 4 minute(s) and 35 second(s) to 5 minute(s) and 16 second(s). The scene 16 goes from 5 minute(s) and 16 second(s) to 5 minute(s) and 24 second(s).
Notre_DameNone	The video contains 30 scenes. The scene 1 goes from 0 second(s) to 2 second(s). The scene 2 goes from 2 second(s) to 11 second(s). The scene 3 goes from 11 second(s) to 15 second(s). The scene 4 goes from 15 second(s) to 20 second(s). The scene 5 goes from 20 second(s) to 22 second(s). The scene 6 goes from 22 second(s) to 30 second(s). The scene 7 goes from 30 second(s) to 38 second(s). The scene 8 goes from 38 second(s) to 46 second(s). The scene 9 goes from 46 second(s) to 51 second(s). The scene 10 goes from 51 second(s) to 1 minute(s) and 1 second(s). The scene 11 goes from 1 minute(s) and 1 second(s) to 1 minute(s) and 10 second(s). The scene 12 goes from 1 minute(s) and 10 second(s) to 1 minute(s) and 12 second(s). The scene 13 goes from 1 minute(s) and 12 second(s) to 1 minute(s) and 16 second(s). The scene 14 goes from 1 minute(s) and 16 second(s) to 1 minute(s) and 21 second(s). The scene 15 goes from 1 minute(s) and 21 second(s) to 1 minute(s) and 25 second(s). The scene 16 goes from 1 minute(s) and 25 second(s) to 1 minute(s) and 34 second(s). The scene 17 goes from 1 minute(s) and 34 second(s) to 1 minute(s) and 37 second(s). The scene 18 goes from 1 minute(s) and 37 second(s) to 1 minute(s) and 45 second(s). The scene 19 goes from 1 minute(s) and 45 second(s) to 1 minute(s) and 48 second(s). The scene 20 goes from 1 minute(s) and 48 second(s) to 1 minute(s) and 51 second(s). The scene 21 goes from 1 minute(s) and 51 second(s) to 1 minute(s) and 53 second(s). The scene 22 goes from 1 minute(s) and 53 second(s) to 2 minute(s) and 1 second(s). The scene 23 goes from 2 minute(s) and 1 second(s) to 2 minute(s) and 6 second(s). The scene 24 goes from 2 minute(s) and 6 second(s) to 2 minute(s) and 11 second(s). The scene 25 goes from 2 minute(s) and 11 second(s) to 2 minute(s) and 12 second(s). The scene 26 goes from 2 minute(s) and 12 second(s) to 2 minute(s) and 17 second(s). The scene 27 goes from 2 minute(s) and 17 second(s) to 2 minute(s) and 20 second(s). The scene 28 goes from 2 minute(s) and 20 second(s) to 2 minute(s) and 23 second(s). The scene 29 goes from 2 minute(s) and 23 second(s) to 2 minute(s) and 28 second(s). The scene 30 goes from 2 minute(s) and 28 second(s) to 2 minute(s) and 33 second(s).
CookingNone	The video contains 3 scenes. The scene 1 goes from 0 second(s) to 33 second(s). The scene 2 goes from 33 second(s) to 38 second(s). The scene 3 goes from 38 second(s) to 42 second(s).
