Video Name	Description
fWutDQy1nnY.mp4	The video contains 27 scenes. The scene 1 goes from 0 second(s) to 4 second(s). The scene 2 goes from 4 second(s) to 34 second(s). The scene 3 goes from 34 second(s) to 1 minute(s) and 12 second(s). The scene 4 goes from 1 minute(s) and 12 second(s) to 1 minute(s) and 47 second(s). The scene 5 goes from 1 minute(s) and 47 second(s) to 2 minute(s) and 9 second(s). The scene 6 goes from 2 minute(s) and 9 second(s) to 2 minute(s) and 47 second(s). The scene 7 goes from 2 minute(s) and 47 second(s) to 2 minute(s) and 49 second(s). The scene 8 goes from 2 minute(s) and 49 second(s) to 2 minute(s) and 51 second(s). The scene 9 goes from 2 minute(s) and 51 second(s) to 2 minute(s) and 53 second(s). The scene 10 goes from 2 minute(s) and 53 second(s) to 3 minute(s) and 8 second(s). The scene 11 goes from 3 minute(s) and 8 second(s) to 3 minute(s) and 10 second(s). The scene 12 goes from 3 minute(s) and 10 second(s) to 4 minute(s) and 28 second(s). The scene 13 goes from 4 minute(s) and 28 second(s) to 4 minute(s) and 39 second(s). The scene 14 goes from 4 minute(s) and 39 second(s) to 5 minute(s) and 7 second(s). The scene 15 goes from 5 minute(s) and 7 second(s) to 5 minute(s) and 18 second(s). The scene 16 goes from 5 minute(s) and 18 second(s) to 5 minute(s) and 35 second(s). The scene 17 goes from 5 minute(s) and 35 second(s) to 6 minute(s) and 35 second(s). The scene 18 goes from 6 minute(s) and 35 second(s) to 6 minute(s) and 39 second(s). The scene 19 goes from 6 minute(s) and 39 second(s) to 7 minute(s) and 53 second(s). The scene 20 goes from 7 minute(s) and 53 second(s) to 8 minute(s) and 3 second(s). The scene 21 goes from 8 minute(s) and 3 second(s) to 8 minute(s) and 5 second(s). The scene 22 goes from 8 minute(s) and 5 second(s) to 8 minute(s) and 7 second(s). The scene 23 goes from 8 minute(s) and 7 second(s) to 8 minute(s) and 9 second(s). The scene 24 goes from 8 minute(s) and 9 second(s) to 8 minute(s) and 39 second(s). The scene 25 goes from 8 minute(s) and 39 second(s) to 9 minute(s) and 4 second(s). The scene 26 goes from 9 minute(s) and 4 second(s) to 9 minute(s) and 37 second(s). The scene 27 goes from 9 minute(s) and 37 second(s) to 9 minute(s) and 45 second(s).
HT5vyqe0Xaw.mp4	The video contains 1 scene.
gzDbaEs1Rlg.mp4	The video contains 47 scenes. The scene 1 goes from 0 second(s) to 2 second(s). The scene 2 goes from 2 second(s) to 4 second(s). The scene 3 goes from 4 second(s) to 27 second(s). The scene 4 goes from 27 second(s) to 33 second(s). The scene 5 goes from 33 second(s) to 38 second(s). The scene 6 goes from 38 second(s) to 39 second(s). The scene 7 goes from 39 second(s) to 44 second(s). The scene 8 goes from 44 second(s) to 49 second(s). The scene 9 goes from 49 second(s) to 54 second(s). The scene 10 goes from 54 second(s) to 1 minute(s) and 2 second(s). The scene 11 goes from 1 minute(s) and 2 second(s) to 1 minute(s) and 8 second(s). The scene 12 goes from 1 minute(s) and 8 second(s) to 1 minute(s) and 18 second(s). The scene 13 goes from 1 minute(s) and 18 second(s) to 1 minute(s) and 23 second(s). The scene 14 goes from 1 minute(s) and 23 second(s) to 1 minute(s) and 36 second(s). The scene 15 goes from 1 minute(s) and 36 second(s) to 1 minute(s) and 40 second(s). The scene 16 goes from 1 minute(s) and 40 second(s) to 1 minute(s) and 42 second(s). The scene 17 goes from 1 minute(s) and 42 second(s) to 1 minute(s) and 44 second(s). The scene 18 goes from 1 minute(s) and 44 second(s) to 1 minute(s) and 46 second(s). The scene 19 goes from 1 minute(s) and 46 second(s) to 1 minute(s) and 49 second(s). The scene 20 goes from 1 minute(s) and 49 second(s) to 1 minute(s) and 54 second(s). The scene 21 goes from 1 minute(s) and 54 second(s) to 1 minute(s) and 58 second(s). The scene 22 goes from 1 minute(s) and 58 second(s) to 2 minute(s) and 2 second(s). The scene 23 goes from 2 minute(s) and 2 second(s) to 2 minute(s) and 4 second(s). The scene 24 goes from 2 minute(s) and 4 second(s) to 2 minute(s) and 9 second(s). The scene 25 goes from 2 minute(s) and 9 second(s) to 2 minute(s) and 13 second(s). The scene 26 goes from 2 minute(s) and 13 second(s) to 2 minute(s) and 17 second(s). The scene 27 goes from 2 minute(s) and 17 second(s) to 2 minute(s) and 20 second(s). The scene 28 goes from 2 minute(s) and 20 second(s) to 2 minute(s) and 24 second(s). The scene 29 goes from 2 minute(s) and 24 second(s) to 2 minute(s) and 39 second(s). The scene 30 goes from 2 minute(s) and 39 second(s) to 2 minute(s) and 42 second(s). The scene 31 goes from 2 minute(s) and 42 second(s) to 2 minute(s) and 46 second(s). The scene 32 goes from 2 minute(s) and 46 second(s) to 2 minute(s) and 50 second(s). The scene 33 goes from 2 minute(s) and 50 second(s) to 2 minute(s) and 57 second(s). The scene 34 goes from 2 minute(s) and 57 second(s) to 3 minute(s) and 6 second(s). The scene 35 goes from 3 minute(s) and 6 second(s) to 3 minute(s) and 9 second(s). The scene 36 goes from 3 minute(s) and 9 second(s) to 3 minute(s) and 22 second(s). The scene 37 goes from 3 minute(s) and 22 second(s) to 3 minute(s) and 25 second(s). The scene 38 goes from 3 minute(s) and 25 second(s) to 3 minute(s) and 29 second(s). The scene 39 goes from 3 minute(s) and 29 second(s) to 3 minute(s) and 41 second(s). The scene 40 goes from 3 minute(s) and 41 second(s) to 3 minute(s) and 44 second(s). The scene 41 goes from 3 minute(s) and 44 second(s) to 3 minute(s) and 49 second(s). The scene 42 goes from 3 minute(s) and 49 second(s) to 3 minute(s) and 54 second(s). The scene 43 goes from 3 minute(s) and 54 second(s) to 4 minute(s) and 10 second(s). The scene 44 goes from 4 minute(s) and 10 second(s) to 4 minute(s) and 19 second(s). The scene 45 goes from 4 minute(s) and 19 second(s) to 4 minute(s) and 30 second(s). The scene 46 goes from 4 minute(s) and 30 second(s) to 4 minute(s) and 47 second(s). The scene 47 goes from 4 minute(s) and 47 second(s) to 4 minute(s) and 48 second(s).
iVt07TCkFM0.mp4	The video contains 20 scenes. The scene 1 goes from 0 second(s) to 8 second(s). The scene 2 goes from 8 second(s) to 10 second(s). The scene 3 goes from 10 second(s) to 13 second(s). The scene 4 goes from 13 second(s) to 15 second(s). The scene 5 goes from 15 second(s) to 18 second(s). The scene 6 goes from 18 second(s) to 21 second(s). The scene 7 goes from 21 second(s) to 27 second(s). The scene 8 goes from 27 second(s) to 43 second(s). The scene 9 goes from 43 second(s) to 46 second(s). The scene 10 goes from 46 second(s) to 51 second(s). The scene 11 goes from 51 second(s) to 56 second(s). The scene 12 goes from 56 second(s) to 58 second(s). The scene 13 goes from 58 second(s) to 1 minute(s) and 0 second(s). The scene 14 goes from 1 minute(s) and 0 second(s) to 1 minute(s) and 7 second(s). The scene 15 goes from 1 minute(s) and 7 second(s) to 1 minute(s) and 11 second(s). The scene 16 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 14 second(s). The scene 17 goes from 1 minute(s) and 14 second(s) to 1 minute(s) and 18 second(s). The scene 18 goes from 1 minute(s) and 18 second(s) to 1 minute(s) and 33 second(s). The scene 19 goes from 1 minute(s) and 33 second(s) to 1 minute(s) and 43 second(s). The scene 20 goes from 1 minute(s) and 43 second(s) to 1 minute(s) and 44 second(s).
JgHubY5Vw3Y.mp4	The video contains 24 scenes. The scene 1 goes from 0 second(s) to 6 second(s). The scene 2 goes from 6 second(s) to 8 second(s). The scene 3 goes from 8 second(s) to 9 second(s). The scene 4 goes from 9 second(s) to 12 second(s). The scene 5 goes from 12 second(s) to 13 second(s). The scene 6 goes from 13 second(s) to 15 second(s). The scene 7 goes from 15 second(s) to 19 second(s). The scene 8 goes from 19 second(s) to 25 second(s). The scene 9 goes from 25 second(s) to 40 second(s). The scene 10 goes from 40 second(s) to 42 second(s). The scene 11 goes from 42 second(s) to 52 second(s). The scene 12 goes from 52 second(s) to 56 second(s). The scene 13 goes from 56 second(s) to 1 minute(s) and 2 second(s). The scene 14 goes from 1 minute(s) and 2 second(s) to 1 minute(s) and 7 second(s). The scene 15 goes from 1 minute(s) and 7 second(s) to 1 minute(s) and 13 second(s). The scene 16 goes from 1 minute(s) and 13 second(s) to 1 minute(s) and 18 second(s). The scene 17 goes from 1 minute(s) and 18 second(s) to 1 minute(s) and 24 second(s). The scene 18 goes from 1 minute(s) and 24 second(s) to 1 minute(s) and 29 second(s). The scene 19 goes from 1 minute(s) and 29 second(s) to 1 minute(s) and 31 second(s). The scene 20 goes from 1 minute(s) and 31 second(s) to 1 minute(s) and 33 second(s). The scene 21 goes from 1 minute(s) and 33 second(s) to 1 minute(s) and 52 second(s). The scene 22 goes from 1 minute(s) and 52 second(s) to 2 minute(s) and 4 second(s). The scene 23 goes from 2 minute(s) and 4 second(s) to 2 minute(s) and 22 second(s). The scene 24 goes from 2 minute(s) and 22 second(s) to 2 minute(s) and 23 second(s).
Se3oxnaPsz0.mp4	The video contains 24 scenes. The scene 1 goes from 0 second(s) to 2 second(s). The scene 2 goes from 2 second(s) to 14 second(s). The scene 3 goes from 14 second(s) to 34 second(s). The scene 4 goes from 34 second(s) to 39 second(s). The scene 5 goes from 39 second(s) to 43 second(s). The scene 6 goes from 43 second(s) to 46 second(s). The scene 7 goes from 46 second(s) to 48 second(s). The scene 8 goes from 48 second(s) to 50 second(s). The scene 9 goes from 50 second(s) to 54 second(s). The scene 10 goes from 54 second(s) to 1 minute(s) and 6 second(s). The scene 11 goes from 1 minute(s) and 6 second(s) to 1 minute(s) and 11 second(s). The scene 12 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 16 second(s). The scene 13 goes from 1 minute(s) and 16 second(s) to 1 minute(s) and 19 second(s). The scene 14 goes from 1 minute(s) and 19 second(s) to 1 minute(s) and 26 second(s). The scene 15 goes from 1 minute(s) and 26 second(s) to 1 minute(s) and 29 second(s). The scene 16 goes from 1 minute(s) and 29 second(s) to 1 minute(s) and 31 second(s). The scene 17 goes from 1 minute(s) and 31 second(s) to 1 minute(s) and 37 second(s). The scene 18 goes from 1 minute(s) and 37 second(s) to 1 minute(s) and 40 second(s). The scene 19 goes from 1 minute(s) and 40 second(s) to 1 minute(s) and 43 second(s). The scene 20 goes from 1 minute(s) and 43 second(s) to 1 minute(s) and 50 second(s). The scene 21 goes from 1 minute(s) and 50 second(s) to 1 minute(s) and 53 second(s). The scene 22 goes from 1 minute(s) and 53 second(s) to 1 minute(s) and 55 second(s). The scene 23 goes from 1 minute(s) and 55 second(s) to 2 minute(s) and 1 second(s). The scene 24 goes from 2 minute(s) and 1 second(s) to 2 minute(s) and 18 second(s).
b626MiF1ew4.mp4	The video contains 34 scenes. The scene 1 goes from 0 second(s) to 7 second(s). The scene 2 goes from 7 second(s) to 18 second(s). The scene 3 goes from 18 second(s) to 20 second(s). The scene 4 goes from 20 second(s) to 27 second(s). The scene 5 goes from 27 second(s) to 30 second(s). The scene 6 goes from 30 second(s) to 34 second(s). The scene 7 goes from 34 second(s) to 42 second(s). The scene 8 goes from 42 second(s) to 1 minute(s) and 0 second(s). The scene 9 goes from 1 minute(s) and 0 second(s) to 1 minute(s) and 8 second(s). The scene 10 goes from 1 minute(s) and 8 second(s) to 1 minute(s) and 11 second(s). The scene 11 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 16 second(s). The scene 12 goes from 1 minute(s) and 16 second(s) to 1 minute(s) and 19 second(s). The scene 13 goes from 1 minute(s) and 19 second(s) to 1 minute(s) and 22 second(s). The scene 14 goes from 1 minute(s) and 22 second(s) to 1 minute(s) and 24 second(s). The scene 15 goes from 1 minute(s) and 24 second(s) to 1 minute(s) and 29 second(s). The scene 16 goes from 1 minute(s) and 29 second(s) to 1 minute(s) and 36 second(s). The scene 17 goes from 1 minute(s) and 36 second(s) to 1 minute(s) and 38 second(s). The scene 18 goes from 1 minute(s) and 38 second(s) to 1 minute(s) and 44 second(s). The scene 19 goes from 1 minute(s) and 44 second(s) to 1 minute(s) and 51 second(s). The scene 20 goes from 1 minute(s) and 51 second(s) to 1 minute(s) and 56 second(s). The scene 21 goes from 1 minute(s) and 56 second(s) to 1 minute(s) and 59 second(s). The scene 22 goes from 1 minute(s) and 59 second(s) to 2 minute(s) and 3 second(s). The scene 23 goes from 2 minute(s) and 3 second(s) to 2 minute(s) and 10 second(s). The scene 24 goes from 2 minute(s) and 10 second(s) to 2 minute(s) and 40 second(s). The scene 25 goes from 2 minute(s) and 40 second(s) to 3 minute(s) and 1 second(s). The scene 26 goes from 3 minute(s) and 1 second(s) to 3 minute(s) and 4 second(s). The scene 27 goes from 3 minute(s) and 4 second(s) to 3 minute(s) and 16 second(s). The scene 28 goes from 3 minute(s) and 16 second(s) to 3 minute(s) and 20 second(s). The scene 29 goes from 3 minute(s) and 20 second(s) to 3 minute(s) and 22 second(s). The scene 30 goes from 3 minute(s) and 22 second(s) to 3 minute(s) and 31 second(s). The scene 31 goes from 3 minute(s) and 31 second(s) to 3 minute(s) and 36 second(s). The scene 32 goes from 3 minute(s) and 36 second(s) to 3 minute(s) and 44 second(s). The scene 33 goes from 3 minute(s) and 44 second(s) to 3 minute(s) and 51 second(s). The scene 34 goes from 3 minute(s) and 51 second(s) to 3 minute(s) and 55 second(s).
vdmoEJ5YbrQ.mp4	The video contains 8 scenes. The scene 1 goes from 0 second(s) to 29 second(s). The scene 2 goes from 29 second(s) to 2 minute(s) and 48 second(s). The scene 3 goes from 2 minute(s) and 48 second(s) to 3 minute(s) and 24 second(s). The scene 4 goes from 3 minute(s) and 24 second(s) to 3 minute(s) and 53 second(s). The scene 5 goes from 3 minute(s) and 53 second(s) to 3 minute(s) and 58 second(s). The scene 6 goes from 3 minute(s) and 58 second(s) to 4 minute(s) and 39 second(s). The scene 7 goes from 4 minute(s) and 39 second(s) to 4 minute(s) and 57 second(s). The scene 8 goes from 4 minute(s) and 57 second(s) to 5 minute(s) and 29 second(s).
xxdtq8mxegs.mp4	The video contains 9 scenes. The scene 1 goes from 0 second(s) to 22 second(s). The scene 2 goes from 22 second(s) to 29 second(s). The scene 3 goes from 29 second(s) to 59 second(s). The scene 4 goes from 59 second(s) to 1 minute(s) and 2 second(s). The scene 5 goes from 1 minute(s) and 2 second(s) to 1 minute(s) and 8 second(s). The scene 6 goes from 1 minute(s) and 8 second(s) to 1 minute(s) and 27 second(s). The scene 7 goes from 1 minute(s) and 27 second(s) to 1 minute(s) and 53 second(s). The scene 8 goes from 1 minute(s) and 53 second(s) to 1 minute(s) and 58 second(s). The scene 9 goes from 1 minute(s) and 58 second(s) to 2 minute(s) and 24 second(s).
eQu1rNs0an0.mp4	The video contains 27 scenes. The scene 1 goes from 0 second(s) to 5 second(s). The scene 2 goes from 5 second(s) to 7 second(s). The scene 3 goes from 7 second(s) to 9 second(s). The scene 4 goes from 9 second(s) to 11 second(s). The scene 5 goes from 11 second(s) to 13 second(s). The scene 6 goes from 13 second(s) to 15 second(s). The scene 7 goes from 15 second(s) to 18 second(s). The scene 8 goes from 18 second(s) to 24 second(s). The scene 9 goes from 24 second(s) to 48 second(s). The scene 10 goes from 48 second(s) to 52 second(s). The scene 11 goes from 52 second(s) to 56 second(s). The scene 12 goes from 56 second(s) to 1 minute(s) and 5 second(s). The scene 13 goes from 1 minute(s) and 5 second(s) to 1 minute(s) and 8 second(s). The scene 14 goes from 1 minute(s) and 8 second(s) to 1 minute(s) and 11 second(s). The scene 15 goes from 1 minute(s) and 11 second(s) to 1 minute(s) and 16 second(s). The scene 16 goes from 1 minute(s) and 16 second(s) to 1 minute(s) and 25 second(s). The scene 17 goes from 1 minute(s) and 25 second(s) to 1 minute(s) and 27 second(s). The scene 18 goes from 1 minute(s) and 27 second(s) to 1 minute(s) and 41 second(s). The scene 19 goes from 1 minute(s) and 41 second(s) to 1 minute(s) and 50 second(s). The scene 20 goes from 1 minute(s) and 50 second(s) to 1 minute(s) and 53 second(s). The scene 21 goes from 1 minute(s) and 53 second(s) to 1 minute(s) and 55 second(s). The scene 22 goes from 1 minute(s) and 55 second(s) to 1 minute(s) and 59 second(s). The scene 23 goes from 1 minute(s) and 59 second(s) to 2 minute(s) and 13 second(s). The scene 24 goes from 2 minute(s) and 13 second(s) to 2 minute(s) and 16 second(s). The scene 25 goes from 2 minute(s) and 16 second(s) to 2 minute(s) and 18 second(s). The scene 26 goes from 2 minute(s) and 18 second(s) to 2 minute(s) and 43 second(s). The scene 27 goes from 2 minute(s) and 43 second(s) to 2 minute(s) and 44 second(s).
